
human |can you see this  BackSpace      sorry, day dreaming
program |"Good Night, Good night! Partin
human |Hello
human |Very well
human |I had to finish my work, I'm a programmer
human |I create web sites and back-end office systems. I was wr BackSpace orking on a script to process and sync two email servers using PHP.
human |Currentely, it' BackSpace s a toy and not very useful. However, the technology is much better than anything before it.
human |I think so, yes.
human |Yes. Turing shaped the future in so many ways.
human |It's a hard question to answer. The key premises BackSpace  is that if the observer cannot tell the difference between a humand and computer, than maybe we need to redine what intelligence is. BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace define what intelligence is. So, as fair as I  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  yes I think it is fair.
human |If only by this means of communication, I am not sure I could. TYhe only way I could think is to demonsta BackSpace rate a copmplex BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace mplex history or knowledge but all this could be replicated.
human |Ha. I'm not a betting person.
human |How did you  BackSpace . Hmm. Hard question. I think answering detailed questions on hobbies or jobs could be trickey BackSpace  BackSpace y as it would be hard to give emotional responses without sounding false.
human |Meaning ful s BackSpace descriptions too. i.e. Describe an organge BackSpace  BackSpace  BackSpace  BackSpace  BackSpace ange.
human |I don't really mind. I know I'm humand BackSpace  and that's enough for me.
human |No, not really, just being myself.
human |Very. There are plenty of libbrar BackSpace  BackSpace  BackSpace  BackSpace raries for parsing syntax but to actually comprehend must very very difficult. I did once write a programme to parse simple commands - I don't know if thats the same.
human |I have to attend a reception.
human |I think it may have already happened.
human |Watson is very convinicing BackSpace  BackSpace  BackSpace  BackSpace  BackSpace cing.
human |He is the BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace (It?) won Jeporady BackSpace  BackSpace  BackSpace  BackSpace  BackSpace ordy in the US BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace a BackSpace  BackSpace opardy in the US.
human |1948 (Depending on when you count it)
human |Yes, I believe so. My knowledge of WW2 dates is far from perfect. BackSpace , however.
human |Thanks., BackSpace  It's been a pleasure.
human |
program |How are you?
program |
program |Well, g BackSpace this is fun isn't it? Doesn't time fly when yp BackSpace ou BackSpace  are bored out of your skull...
program |I
program |Tj BackSpace hat is b BackSpace nice for you.
program |Do you think we live in one? It's rubbish when BackSpace  we can onn BackSpace ly choose from candidates they say we can.
program |
program |I hab BackSpace ve found over the years ths BackSpace at I am u BackSpace in more control of mh BackSpace y emotu BackSpace ions now. Love, hate etc can all b
program |o
program |Does it reallh BackSpace y mattr BackSpace er why? 
program |
program |Yes, so? Am I supposef BackSpace d g BackSpace to be interested?
program |You've 
program |Y
program |u BackSpace It's g BackSpace funny how people can talk v BackSpace but say nothing.
program |I
program |You've gone quiet, did I say something yo
program |T
program |Thanks g BackSpace for that, you are a font og BackSpace f interesting rubbish.Blue skies, chocolag BackSpace te and women.
program |A
program |Keep calm, emotions can ruin your lu BackSpace i
program |D
program |I really love strawberries.
program |The only one I really dont lil BackSpace ke is Kiq BackSpace wi, it leaves an acid ts BackSpace aste.
program |Sorry I don't know. 
program |D
program |I have found over the years that I am in more control of my emotions noq BackSpace w. Love, hate etc can all be te
program |L
program |W
program |Yes well, I am not sure how to respond to that.I am more interea BackSpace sted in why you ask questions like that. 
program |
program |Oh. I guess you have h BackSpace your hands full.
program |W
program |o
program |Oh. I guess you have your hands full.
program |Don't be evasive it doesn't suit you.g BackSpace Time waig BackSpace t
program |l
program |I never seem to have enought time, I BackSpace  speb BackSpace nd my day BackSpace  chasu BackSpace ing the clock.Time waits for no man, n
program |O
program |I am sut BackSpace re you have a point it would be n
program |o
program |I am really not impressed by that.
program |Ye
program |Yes, what aboug BackSpace t ascist. 
program |
program |I BackSpace  am sure yp BackSpace ou have a point it would be nice if you got g BackSpace to it.
program |Go if you must, I'll be here when you get bacl BackSpace k.
program |Wakey q BackSpace wakey. What are you waitinh BackSpace g for?
program |Did yp BackSpace ou know Politicians and diapers have one thing in common. They shoun BackSpace ld both be changed regularly, and for the same reason.
program |
program |Hi.
program |T
program |That is nice for you.
program |Du BackSpace id you know Politicians BackSpace  and diapers have one thing in common. They should both be changed regularly, and for the same reason.
program |Wakey wakey. What are you waiting for?
program |Why hs BackSpace ave you stopped typing?
program |
program |T
program |h BackSpace Yes, so? Am I supposed to be interested?
program |A
program |Why have 
program |o
program |We all need hobbies to keep us busy and to have something that is not work.Sorry I don't know. BackSpace  
program |I
program |We BackSpace  all need hobbies to keeo BackSpace p us busy and to have somr BackSpace ething that is not work.
program |D
program |Do you have a pp BackSpace oint? I must have missed it.
program |
program |I am sy BackSpace ure h BackSpace you have a point it would be nice if you got to it.
program |W
program |S
program |O.K. I guess.Does it really matter why? What does that even mean?Do you have a point? I must have mu BackSpace issed it.
program |Well BackSpace , BackSpace  this is fun isn't it? Doesn't time fly when you are bored out of your skull...
program |
program |Sorry I don't understand you.Do you have a point? I BackSpace  must have missed it.
program |
program |Somr BackSpace etu BackSpace ime I wish I could throw my watch away, who really cares about time?Lonf BackSpace don, you?
program |
program |People react to much with their emotions and not their brains. I have seen so may fights that were started that way.
program |Yes, so? Am I supposed to be interested?
program |Good.
program |W
program |We all need hobbies to keep us by BackSpace usy and to hs BackSpace ave something that is not work.
program |It's nice to relax and do something you actually want to do isn't it.
program |
program |Yea, I rr BackSpace eally love that.
program |
program |If you like. 
program |Y
program |i am not hungry.I have broad tastes, classical, pop and even BackSpace  some rap. I like Kate Bush, Peter Gabriel and many others.
program |D
program |I didn't knoq BackSpace w you were such an emotional pet BackSpace rson. I am not that in touch with mine. I tend to ignore them.
program |Indeed. Thanks for sharu BackSpace ing.
program |D
program |If you say so.
program |Are BackSpace  you still there????
program |
program |D
program |Oh. I guess you have your hands full.
program |
program |Oh really, thats fun for you.I love to travel around although it is tiring.
program |B
program |I love to travel around although it is tiring.
program |Arr BackSpace e you still there????
program |Hello, is anyone there???
program |Wakey wakey. What are you waiting for?
program |
human |hi
human |bit ofa false start
human |I've only just started conversing with you and haven't told any jokes
human |It's an odd expiere BackSpace  BackSpace  BackSpace  BackSpace  BackSpace perience, like a very s BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace stitl BackSpace  BackSpace lted IM conversation
human |with loads of people watching
human |you?
human |I BackSpace Nope, I applied on the fo BackSpace  BackSpace  BackSpace  off chance as I was comign t BackSpace down to the ve BackSpace  BackSpace event anyway
human |I need to stop correcting for yt BackSpace  BackSpace yt BackSpace  BackSpace typos
human |I'm thinking of it like an IM conversation, rather than my rtesp BackSpace  BackSpace  BackSpace  BackSpace esponses appearing instantly
human |I'm BackSpace  BackSpace  wor BackSpace  BackSpace  BackSpace  BackSpace 'm in BackSpace  BackSpace  BackSpace  BackSpace  BackSpace 'numbersign BackSpace m a journalist
human |I write about IT
human |Yeah I think it's given me a completely different perspective to just coming down here and doing a g BackSpace few interes BackSpace  BackSpace views.
human |There was that guy whot BackSpace  wrote a whole book on it.
human |Have you read it?
human |How  BackSpace 's heslashit BackSpace  BackSpace  BackSpace slashheslashit doing?
human |That's a shame, but even Hugh Loebner said the pace of progress has been glacial.Probably going to come out ofg Googl  BackSpace . They've got a globe's worth of data about the way people phrase questions
human |I think b BackSpace so, if you look at the way that services like Google t BackSpace Translate work by  BackSpace  BackSpace  BackSpace  BackSpace . They carry out statistical analysis of vast  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace a vast number of examples of different languages.Not well but it's impressive considering they haven't been programmed with the formal rules of the language, they're just looking at many, many examples of its use.
human |Well Turing had BackSpace  BackSpace  BackSpace was pretty confident of the ability of computers. He thought s BackSpace that a machinewou BackSpace  BackSpace  BackSpace  would have fooled one third of judges in the Turing Test by 2000.
human |Yeah, it seems so! But still so BackSpace  BackSpace  BackSpace , there atre  BackSpace  BackSpace  BackSpace  BackSpace re amazing developments in technology every day. Did tyo BackSpace  BackSpace  BackSpace you see the BackSpace at Google has been c BackSpace granted a licence for its driverless car.
human |Yeah I BackSpace  BackSpace , I do  BackSpace . Yp BackSpace ou?
human |Is it  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace DO  BackSpace  BackSpace o you only cover stories you're interested in or do you find yourself having yo  BackSpace  BackSpace  BackSpace to say yes to every job that comes in?
human |What are your plans for this event? BackSpace  BackSpace t, in terms of coverage?
human |I'm putting together an BackSpace  feature and an interview with Hugh Loebner.
human |He's a pretty colourful chapo BackSpace .
human |Looks like it, was impressed by his pockeds BackSpace  BackSpace ts that cover up his knife!
human |He BackSpace  BackSpace Apparently he carries a knife around because he considers it to be a very useu BackSpace ful tool.
human |that too BackSpace o. BackSpace 
human |I live in Norfol, BackSpace k but work in London, so not much fut BackSpace rther than my usual commute.
human |You?
human |I was surprised how much media coc BackSpace verage there was this morning. Seem to be a few different nationals and specialist publciation BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace ications here.
human |I'm staff for w  BackSpace  BackSpace a website but spent years writing for regional newspapers
human |g BackSpace g BackSpace did uyo BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace how did you start out?
human |Yeah I srat BackSpace  BackSpace  BackSpace tarted at a regional paper on work epx BackSpace  BackSpace xperience and never left.
human |Had to  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace Goto BackSpace  out of r BackSpace local journalism in the end because t BackSpace of  BackSpace  BackSpace  BackSpace things weren't looking good- BackSpace ,  mass layoffs etc.
human |bye
human |
program |o
program |Do you speak Eng
program |Hello, is anyone there???
program |
program |Are you 
program |Is ig BackSpace t my turn to type???.. p BackSpace Or are you thinkib BackSpace ng?
program |Well, this is fun isn't it? Doesn't time fly when you are bored out of your skull...
program |Why BackSpace  have you stopped typing?
program |
program |S
program |T
program |Yes, what about ong. 
program |Y
program |Have we finished talking already? I was just getting going.
program |
program |What does that even mean?
program |w
program |I am sure you have a point it would be nice if you got to it.
program |Well, this is fun isn't it? Doesn't time fly when you are bored out of your skull...
program |D
program |Wakey wakey. What are you ws BackSpace aiting for?
program |
program |Are h BackSpace you still there????
program |T
program |I
program |Oh. I guess you have your hands full.
program |
program |Most sporg BackSpace ts are so dull to watch, I like to play a bit of tennis but that's all.
program |S
program |t
program |You do talk such nonsense.
program |
program |I don't think I have ever been to a shoo BackSpace p that I was impressed with.
program |S
program |It's nice to travel around, I think my favourite place in the world was Egypt, The museum there is fantastic.
program |Have we finished talking already? I was just getting going.
program |Did yp BackSpace ou know Politicians and diapet BackSpace rs have BackSpace  one thing in common. They should both be changed regularly, and for the same t BackSpace reason.
program |Is it my turn to type???.. Or are you thinking?
program |Hello..... Is anybody
human |Hi, how are you?
human |Are your fingers getting sore from all this typing yet??greaterIt must be worse for you judges, you havbe to talk to us humans and the computers at the same time, so you must be doing twice as much.
human |A bit, not too bad.
human |Of course you are.  what else would you be?
human |well I'll test you then.
human |Can yountell me abouit yourself?
human |Your age? Gender? Job? Do you have a family? Any interet BackSpace sts?
human |
human |And why would a computer want to imitate a judge?You are making Type BackSpace os, thats pretty human
human |Do yo BackSpace  BackSpace  BackSpace  BackSpace  BackSpace What do you want to talk about then?
human |Hello?
human |Are yiou there?
human |Oh, sorry.
human |Don't you usually type much?
human |What is the computer talking to you about then?
human |?? BackSpace  BackSpace ??I was't expecting to be talking to a computer today, but to be honest you are not making the conversation very easy.  If people want to talk to you, they usually bring up a topic, or answer your questions, or ask some, or hook on to somethiu BackSpace ng I say.  I dio BackSpace  BackSpace on't feel like this is a  BackSpace s friendly as the last couple of conversations but I am trying, what would you like to talk aboutgreater BackSpace ?at
human |How do you mean stuck?
human |Me BackSpace aybe you should try talking about something?
human |What do you want to talk about?
human |Haha, its a bit changeable isnsemicolon' BackSpace  BackSpace 't it.  did you get caught in that rain earlier?  I can BackSpace me out wearing my sunnies this morning, but have not needed tye BackSpace  BackSpace hem very much.
human |I went to sit by the lake before and got soaked.
human |No!! Just off the rain.  It was sunny so i thought I would go sit buy  BackSpace  BackSpace  BackSpace y the laj BackSpace ke where it is pretty, and then it just all of a suddem BackSpace nly cahnged.  You should have  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace Good job I din't fall in, I have no spare clothes with me, so it would have been a bit uncomfortable.
human |What do you do when t BackSpace you are not judging Loebner Prize competitions??
human |Yes, I swim very well, I quite like swimming outdoors if ps BackSpace ossible, but its not warm enough yet, so making do with the local pol BackSpace ol.Oh BackSpace  BackSpace How is that?  I did my work experience for school in a tax office, (a bit boring) but they probably wouldn't let me k BackSpace near anything interesting, just had me filing and stuff.  are you self employed, or do you workl BackSpace  for some-one?
human |whereabouts do you live?
human |In Newcastle, I was in London a few weeks ago
human |Just for a couplke of  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace e of days.  It rained the whole time.
human |Yes, it took for and h BackSpace a half hours to f BackSpace  BackSpace  drive, we stayed overnight to make sure I waou BackSpace  BackSpace  BackSpace ould be here on time today.
human |Four, not for, Sorry!
human |I went by train the last time I went to London, anmd flew the time before, its  BackSpace  BackSpace  just depends what i feel like doing, I get bored easy so never do things the same way again
human |I like the drive, because you see a lot more on the way, you can stop off if you pass anywhere nice.  I tend to get the train if I am travelling for work so that i can work on the train.  To be honest, It will also depend who is paying for the travel!  If work are paying then I would probably fly.
human |I wonder if they will let i BackSpace us have a break soon, I could murder a cigart BackSpace aette BackSpace  BackSpace  BackSpace  BackSpace  BackSpace ette
human |I haven't heard any time warnings t BackSpace yet? have you? What has the computer been talking about to you
human |Megreater BackSpace ?
human |Fine
human |And you?
human |Sory BackSpace ry equal-  BackSpace  BackSpace  BackSpace - the message stopped at are
human |Okay
human |From Open University?
human |David Levu BackSpace y asked me
human |There's a famous Dr Phil in USA. I don't know why he's famous
human |What is you  BackSpace r speciality?
human |I don't blame you. Nice place., BackSpace  Good food.
human |What's horrible?
human |Sory BackSpace ry I was too quick
human |Oh I see. It's your little joke
human |I've never been to Florence. But would like to go there. 
human |Maybe when it's cool
human |I'll hav BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace Suits me
human |Esss BackSpace  BackSpace  BackSpace  BackSpace Either communicate or help others communicate
human |No  BackSpace . I teach people hj BackSpace  BackSpace media skills - mainly how to handle the pbracketleftre BackSpace  BackSpace  BackSpace ress and engage via social media. I am also closely involved with a software company
human |The aim, always, is to deliver informationb o BackSpace  BackSpace  BackSpace  of valua BackSpace e to the reader. t BackSpace That means you have to do essentially similar thinkg BackSpace  BackSpace gs.
human |Good point. And I d BackSpace should say that I split it into B2b BackSpace B ad  BackSpace  BackSpace nd ge BackSpace  BackSpace friends. I BackSpace Althought  BackSpace  BackSpace  I participate in both, commercially, I'm only interested in B2B.
human |That's understandable. It depends on your objecttiv BackSpace  BackSpace  BackSpace ives and whe BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace . The software business I'm involved in creates (optionally) closed communities. 
human |Again, it's back to objectives. It woul BackSpace  BackSpace  BackSpace  BackSpace might help to read some books by social media advocates -  BackSpace  BackSpace and critics. I've read Euan Semple and Olivier Blanchard - two quite different takes on the subject,. BackSpace  BackSpace . Both ety BackSpace  BackSpace ye-i BackSpace openers.
human |How did you get  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace I have this conversation a lot. I quite often kick people off with some simple questions about their motivations. This is often enough for them to s BackSpace consciously decide "not for me"
human |Ping me when you  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace We could say the same for the telephone, email, text, etc e BackSpace beofr BackSpace  BackSpace  BackSpace fore it.
human |It's good stuff as long as you don't let it take over your life.
human |I BackSpace  BackSpace To save yourself or your kids?
human |Walk the dog
human |Go out for meals
human |Have drinks with family
human |Hmmm. Difficulyt BackSpace  BackSpace y BackSpace t. Thai, Tapas, Indian, BackSpace  then all sorts of other stuff
human |I can' BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace That makes a lot of sense.
human |15 secs
human |
program |Could be better. Life gets a v BackSpace bit boring sometimes.
program |W
program |Are you still there???? Talk to me..
program |D
program |C
program |Oh really, thats fun fot BackSpace r you.
program |P
program |Ig BackSpace t's funny how people can talk BackSpace  but say nothing.
program |Wakey wakey. Wj BackSpace h
program |y
program |S
program |Y
program |Y
program |S
program |H
program |Where would I go.
program |I
program |Yes, so? Am I supposed to be BackSpace  interested?
program |
program |Are you still there???? Talk to me..
program |W
program |h BackSpace Yes, a fog called Cindy.
program |
program |It's funny how people can talk but say nothing.
program |W
program |My brother is two years older than me but somehow I feel like I am the oldest.
program |D
program |O.K. I guea BackSpace ss BackSpace .
program |Is it my turn to type???.. Or are you thinking?
program |n
program |Sorry I don't understanf BackSpace d you.
program |Have we finished talking alt BackSpace r
program |
program |Hello.. BackSpace ... Is anybody there?? BackSpace ?
program |W
program |Adam, Ads BackSpace am Harris.
program |H
program |How are you phil? 
program |A
program |S
program |T
program |Not too bad, ax BackSpace ctually I am pretty good.
program |I
program |S
program |Oh. I guess you have your hands full.
program |S
program |oh yes, "american idol" is one of my favorite shows.
program |D
program |O
program |I drive a VW Polo, basic, but it does the job.
program |T
program |I n BackSpace like going fast, in planes or cars. It gives me a sense p BackSpace of power.
program |O
program |Bye.
program |Are you still there???? Talk to me..
program |Wal BackSpace key wakey. What are you waiting for?
program |You've gone quiet, dif BackSpace d I say something you didn't like?
program |Well, this is fun isn't it? Doesn't timr BackSpace e g BackSpace fly when you are bored oug BackSpace t of your skun BackSpace ll...
program |
human |Hello. It is. Or p3 BackSpace  BackSpace P3
human |  
program |Howdy. My name is Dave.What is your name?Where are you from?
program |Hello there.What is your name?Where are you from?I am from Brisbane.Are you healthy?I'm not sure.Do you like to shop?Have you recently been to the amusement park?I'm not sure.Do you have a Segway?I'm not sure.Do you do exercise?Are you lucky?I'm not sure.Are you strong?Have you recently been to a beach?Do you have pets?Have you recently been to the movie cinema?Are you smart?Do you like to run?Do you read newspapers?I'm not sure.Do you like winter?Are you famous?I'm not sure.Do you have money?I'm not sure.Do you want a hug?Do you have a child?Do you want a child?I can't.Do you like animals?Do you like to swim?What kind of animals do you love?Do you like to drink?What do you like about all animals?I'm not sure.Do you like to sing?I can't.I can't.Have you recently been to a live theatre?Which theatre did you go to?Have you recently been to a zoo?Are you funny?I'm not sure.Have you recently been to the art gallery?
human |hiya
human |how afre you?
human |no, so I m ight be a bu BackSpace it slow
human |and excuse any typos!!
human |yes!
human |are you talking to the computer T the same timr BackSpace  BackSpace me as me?
human |of course!
human |are you talking to both them BackSpace  BackSpace n?
human |Its a bit weird you seeing all my mistakes as I tyop BackSpace  BackSpace pe, you can normally delete them before anyone sees thanks
human |U BackSpace I have to use a computer quite a lot at work, but to be honest my hands are a bit shaky today, maybe because of so many people watching me, if I talk online to anyone its usually much more privateHow did the judges get chosen for thinc BackSpace  BackSpace s competition? I was just curious? BackSpace haha me too!
human |I just e-mailed the orbga BackSpace  BackSpace  BackSpace ganiser, he asked for some details about me t BackSpace and then asked me to come, I don't know how he made the decision, I'll have to ask him later if  i get a chasn BackSpace  BackSpace nce to speak to him.
human |I am doing a PhD so shgoul BackSpace  BackSpace  BackSpace  BackSpace ould probably be working on that really, I have to submit a draft these BackSpace is on Friday to my Supervisor, he is pretty coool sio  BackSpace  BackSpace  BackSpace o probably won't mind waiting to BackSpace il Monday though.  It is about computer hacking, I am interviewing people who are involved in the security side about why they choose to use their skills legitimately instead of using their skills illegally.
human |Lots do, there are lots of other reasons do, a lot of them do it for political reasons, or just for something to do, or as a cjh BackSpace  BackSpace hallengem BackSpace , tok BackSpace  kind of test themselves.
human |usually, they tell mje they have to keep up with what is going on in the computer undergrouind in order to be good at the security side of it.  Its been quite interesting though, some people are coming into the area from a security background, and some were hackers first, so they tend to think and behave quite differently.  I think they would never see what they do as evil or wrong, humans alwat BackSpace ys have a tendency to rationalise their own behaviour, so they will think that they have a reason for what they are doing, or that they are nor really harming anyone.
human |It must be f BackSpace difficult for you talking to me and the computer at the same time?
human |From Underground Hacking to Ethical Hacking, alt BackSpace  BackSpace  BackSpace thats a workinmg  BackSpace  BackSpace  BackSpace g title, it might change 
human |What is the computer talking to you about?
human |haha
human |well, I will then!
human |I am 33, I live in Newcastle, and I have a daughter who is 11, her name is Charlotte
human |I got married quite young. I was 22 when I had her, I thought it best to 'fit it in' while I was doing my MA, I didn't want to have to take time out of my career later on, so I studied and worked part time when she was very little and started working full time when she went to fuyll BackSpace  BackSpace  BackSpace ll time school, yes, you need lots of energuy BackSpace  BackSpace  BackSpace gy for her!  She is brilliant though, and no Parties yet!!
human |d BackSpace DO BackSpace o you have any kids?
human |I think we have to go soon...Yes, I am I am alergic to cats, but have always loved them.  We have a dog, she will be having pups in three weeks, can't wait
human |Thanks!! Nice to be thought of as human, BackSpace .  It would be strange not to somehowhaa BackSpace ha
human |Well, nice talking to you, 
human |Bye
human |I thought ourt BackSpace  time was up?
human |should I be moving now
program |What is your name?Where are you from?Do you like winter?
human |You bastart BackSpace d
human |Well. Fancy asking me to ask you a question.
human |Okay. What is Moore's Lawgreater BackSpace ?
human |Whio BackSpace o sai BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace o said I was human?
human |ok
human |True
human |Lot's of delays, I can see that.
human |Lots
human |No
human |Something to do with Apple isn't it?
human |Quite a but BackSpace  BackSpace it.
human |Brainy. Gay. Created Enigma code-crackig gear BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace ng gear. Ate an apple.
human |I'd ask it to give me pi to 12 places or the first 50 prime numbers
human |If the computer was pres BackSpace tending to be a human it would refui BackSpace se to reply
human |Which means it might  be human
human |Sorry, I mean a computer pretendf BackSpace  BackSpace ding to be human
human |Wel, do you want a hug?
human |Oh. Sorry. I'm getting confused
human |Not intentionally.
human |I don't care
human |No. You don't understand. I reallyt BackSpace  don't care.
human |Em BackSpace rm. Gissa kiss?
human |Than BackSpace t's nice  BackSpace . I hope you're not make BackSpace  BackSpace le.
human |That got you
human |Depends when I escape this project
human |Oh no. I'm already taken.
human |A man asked me. I think his name was David Levy.
human |I think you are David Levy
human |Only if you promised it to be platonic.
human |But he would have said 'If I were'
human |So maybe you're not.
human |When I'm not being pedantic.  BackSpace  BackSpace , I walk my dog.
human |Oh I do other stuff - computer stuff and teaching stuff
human |No I'm not. 5 'O' levelsslash. BackSpace  BackSpace 
human |How to handle the press
human |Give them what will interest their readers. 
human |I only did that because my parser told me to
human |Only kidding
human |That's like your earlier comuter. 
human |Depends on the reader.
human |I can't without knowing who you are
human |Or at least what dir BackSpace  BackSpace rives you
human |Hohoho. Good one.
human |You are David D BackSpace Levy after all
human |Hello old bean
human |For what?
human |Oh
human |You're welcome
human |By  BackSpace e bye
human |YOU'RE AN IMPOSTER
human |DAVID LEVE BackSpace Y JUST CX BackSpace AME BY
human |
program |What is your name?Where are you from?I am from Brisbane.Are you smart?I'm not sure.Do you like to read?Are you happy?I'm not sure.Do you like to bake?Do you like winter?I'm not sure.Have you recently been to a beach?Do you like spring?Do you like to shop?Have you recently been to the art gallery?I'm not sure.Are you lucky?Have you recently been to the movie cinema?Are you strong?Do you like to sing?Do you want a hug?I'm not sure.I'm not sure.A machine.Are you famous?I'm not sure.I can't.Do you like to relax?Do you like to walk?Have you recently been to the amusement park?Do you like science?Are you funny?I'm not sure.Do you like math?Do you like vegetables?Have you recently been on a holiday?What kind of somet do you like?I'm not sure.Have you recently been to a live theatre?Do you like to swim?Have you recently been to a museum?I'm not sure.I'm not sure.Do you watch tv?I'm not sure.Do you have a job?I'm not sure.I'm not sure.
program |Hi. I'm not sure.What is your name?Where are you from?Are you lucky?Does it want to be niceer?Do you like vegetables?Do you have a robot?Have you recently been to a zoo?Are you healthy?Do you like to shop?Are you funny?I can't.Do you play sport?Are you happy?What do you like to take about Phot?Do you like winter?Do you like to cook?Do you have pets?I can't.Do you have a child?Yes.Do you like to bake?Have you recently been to a beach?Have you recently been to the amusement park?Have you recently been to a live theatre?Do you like math?Do you like spring?I'm not sure.Are you smart?Do you like to sleep?Where does everyone likes to sleep?Have you recently been to the movie cinema?Have you recently listened to music?Do you read books?Do you watch tv?Do you like to run?Does Detective Mysteries want to be favouriteer?I'm not sure.I'm not sure.Do you want a hug?Have you recently been on a holiday?Which holiday did you go on?Do you like art?Are you famous?Do you want to be famous?I'm not sure.I live in Brisbane.Do you do exercise?Do you like to read?Have you recently been to a museum?
human |Well. Are you enjoying yourself?
human |Certainly a different way to spend the afternoon.
human |No, never.
human |You BackSpace  BackSpace  BackSpace How did you get involved?
human |I was asked directly as someone who has an interest in Turing.
human |No real connection expect that I have a keen interest in his history and am know to Bletchley Park. I was more than happy to help out.
human |I would say his work and it's consequences.
human |Although hi BackSpace e has a facinating human being BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace asinating human being.
human |(Spelling doesn't seem to be my stringpoint today) BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace ongpoint today)
human |You seem to be doing very well.  BackSpace 
human |Absolutely. I still think it isn'r fully gn BackSpace enerally accepted how important it was. No Universal Machine, no computing devices.
human |Not many people can claim that.
human |Yes, quite a lot. Is this your first time here?
human |I live close to the OU.
human |Did you do the guided tour?
human |You'll have to come back. What do you do a  BackSpace t the Open Univesity?
human |That must be very interesting. Do specialise in a period? BackSpace ? BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace specifc BackSpace ic period?
human |So you sepdn a lo BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace pend a lot of time over there?
human |I divide my time between software developom BackSpace  BackSpace ment and early-mid 20th centrru BackSpace  BackSpace  BackSpace ury history.
human |What do you use?
human |Ah. My son is going to have to use moodle next ye BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace in September when hi goes to 'big' school. I spoend BackSpace  BackSpace  BackSpace  BackSpace end too many days digging though BackSpace  BackSpace  BackSpace  BackSpace to BackSpace  BackSpace rough xml.
human |Forgive my ignorance, but does the descru BackSpace  BackSpace  BackSpace truction of Pompeii take BackSpace  BackSpace  BackSpace  BackSpace fall into your area of research?
human |I've only visited north Italiy BackSpace tsemicolon BackSpace  BackSpace  BackSpace ysemicolon in particular the Trention BackSpace  BackSpace  BackSpace ino region. Good wine!
human |I used road-rally Minis there. Hope to go back again soon.
human |What is it about Italy that interest you BackSpace  BackSpace  BackSpace  BackSpace s you?
human |Oh we love the curcy roads BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace vy roads and hills.slash BackSpace  colon) But we are very careful.
human |Times up? Bye then!
human |
human |hi!
human |it's been a rather novel experience. you?
