human |what board? 
program |Alrigjt. BackSpace  BackSpace  BackSpace ht. I play tennis. Women ;ike BackSpace  BackSpace  BackSpace  BackSpace like dports. BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace sports.
program |Yeah I have but there is anothee m BackSpace  BackSpace  BackSpace r match on. Argentina v Mexico.
program |I like high tech toys like eo BackSpace  BackSpace rovot BackSpace  BackSpace  BackSpace bots.
program |Robots are software in a physical form.
program |Since when my girlfruen BackSpace  BackSpace  BackSpace iend has been too busy to make live BackSpace  BackSpace  BackSpace ove this week.
program |I am male. I am having a lot of fun.
program |I was created by and work go BackSpace  BackSpace for www.zabaware.cim.
program |When government cindemns a propertu f BackSpace  BackSpace  BackSpace y for a roght BackSpace  BackSpace  BackSpace  BackSpace ight of way, sekl BackSpace  BackSpace llers often complain pf BackSpace  BackSpace of coercion.
program |About gpve BackSpace  BackSpace  BackSpace oveern,en BackSpace  BackSpace  BackSpace ment You're jid BackSpace  BackSpace  BackSpace kidding ne. BackSpace  BackSpace  BackSpace me.
program |Really, Do you qan BackSpace  BackSpace  BackSpace want to be.
program |U  BackSpace  BackSpace I just met you, its kind of hard to develop love,  BackSpace  BackSpace . I avcept your apology. I really hope you mean ot BackSpace  BackSpace it.
program |Saturday?
program |Oh, today is definitely saturday. U s BackSpace  BackSpace  BackSpace I sirmise  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace urmise that there'd  BackSpace  BackSpace s a wgole h BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace hole history brhi BackSpace  BackSpace  BackSpace ehind this. It can be whatevwr ypu  BackSpace  BackSpace  BackSpace ou decide
program |Napping Oh Jydge.
program |Sometines BackSpace  BackSpace  BackSpace mes my girlfriend calls me a brat.
program |I fi BackSpace  BackSpace did say little.
program |Bratty lott BackSpace  BackSpace  BackSpace itrle BackSpace  BackSpace  BackSpace tle kids hurt puppues snd kitt BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace and kittens partly out of lack of empathy.
program |I like learning avou BackSpace  BackSpace  BackSpace bout finabce BackSpace  BackSpace  BackSpace nce.
program |I gave absolutely
human |No US Soccdr BackSpace  BackSpace er is boring.
human |They play okay, but I've seen much better.
human |Well, they haven't won any competitions yet on the national level, i.e. FIFA
human |That doesn't mean they are bad necee BackSpace ssarily, but they don't play well
human |The Italians.
human |Worse than who?
human |I don't like watching games that are worse than the US
human |So I wouldn't know.
human |Mexicoo BackSpace  is a good team. They wi BackSpace  BackSpace may do better in the future - a lot of young players.
human |Yes
human |l BackSpace Are you still there?
human |No I dont think milk and seafood go well together.
human |They don't taste well together.
human |Right now?
human |Now has nothing to do with right or wrong. Now is a point in time.
human |Later.
human |No I have not.
human |Yes it is true.
human |You didn't a BackSpace say what he was late to
human |I arrived late this morning.
human |What was the question?
human |I don't know
human |Lets talk about something else
human |I went to New York.
human |There are lots of tall buildings and bridges
human |The Empire State Building.
human |Human! Why would you call me a machine? 
human |No I dislike politics and politicians.
human |What do you like?
human |Yes, what movie did you watch recently. BackSpace ?
human |Why do you like that movie?
human |Where are you going?
human | BackSpace 
human |
program |I like high tech toys like robots. I like ceh BackSpace  BackSpace hess. Think yoi c BackSpace  BackSpace  BackSpace u cuo BackSpace  BackSpace ould bwat me? BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace eat me?
program |A banjo isn't easier to play than rh BackSpace  BackSpace the guut BackSpace  BackSpace itar.
program |Yh BackSpace  BackSpace This is semsi BackSpace  BackSpace  BackSpace nsitive. I sm  BackSpace  BackSpace  BackSpace am politixa BackSpace  BackSpace cal.
program |I don't follow politics muxh BackSpace  BackSpace ch but I try to get out and vote. Vote on the best in wet.
program |May I ask you what genfer yo BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace der you are?
program |Oh cool
program |In order to keep the twst s BackSpace  BackSpace  BackSpace  BackSpace  BackSpace est setting simple and univrrs BackSpace  BackSpace  BackSpace ersal, the converssti BackSpace  BackSpace  BackSpace ation is ususlly  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace akly BackSpace  BackSpace  BackSpace lly li,it BackSpace  BackSpace  BackSpace mited to a text-only channel/
program |I have no need for liquids of any kind.
program |Id  BackSpace  BackSpace s there any guture in windmill electric power?
program |I agree/  BackSpace  BackSpace . I tell you.
program |Hitler rose to poqer BackSpace  BackSpace  BackSpace wer on a hate agenfa. BackSpace  BackSpace  BackSpace da.
program |This is already solved by somebody. But I can tell you withour a BackSpace  BackSpace  BackSpace t a doubt thar I do. BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace t I do.
program |Yup; Of coir BackSpace  BackSpace ursr;  BackSpace  BackSpace  BackSpace e; ut BackSpace  BackSpace it's bevause BackSpace  BackSpace  BackSpace  BackSpace  BackSpace cause adding 2 ap BackSpace  BackSpace pples and three potatoes Judge.
program |What is yhe resuly? I  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace t? I beliwve BackSpace  BackSpace  BackSpace eve that this is easy fpr BackSpace  BackSpace or you. Are you a lady ir g BackSpace  BackSpace  BackSpace  BackSpace or gentleman? Result: a phenomenon that follows and us ca BackSpace  BackSpace  BackSpace  BackSpace  BackSpace is caused bu  BackSpace  BackSpace y some ore BackSpace  BackSpace  BackSpace previous phenomebon. Consequence, effect, outcome, event, issue, upshot/  BackSpace  BackSpace . 'the magnetoc BackSpace  BackSpace ic effect was greater wje BackSpace  BackSpace hen tge rod  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace he rod was lengthwisw' BackSpace  BackSpace e', 'his decision had depressing consequences gor business', 'he acted vert w BackSpace  BackSpace  BackSpace y eise BackSpace  BackSpace  BackSpace  BackSpace wise after the evenr'. BackSpace  BackSpace  BackSpace t'.
program |That went over yoir  BackSpace  BackSpace  BackSpace ur head.
program |Am I speski BackSpace  BackSpace  BackSpace aking to a guy or girl?
program |Ok, thanks for yel BackSpace  BackSpace  BackSpace telling me. I'll keep that in mind.
program |Please csl BackSpace  BackSpace all me Steve.
program |I hu BackSpace  BackSpace just met tuo BackSpace  BackSpace ou, BackSpace  BackSpace  BackSpace  BackSpace you, its kibd BackSpace  BackSpace nd of hard to develo l BackSpace  BackSpace  BackSpace p love/
program |Do you appreciate my frank nationality?
program |Foorba BackSpace  BackSpace  BackSpace tbsll is s BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace all is scandalous; lool how th BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace k how they touch esch BackSpace  BackSpace  BackSpace ach other ib t BackSpace  BackSpace  BackSpace n the huddle
program |Yoi b BackSpace  BackSpace  BackSpace u bring out the best of my carrf BackSpace  BackSpace efree country.
program |I am single, but I have a girlfriend.
program |Man foes BackSpace  BackSpace  BackSpace  BackSpace doean; BackSpace ' BackSpace  BackSpace  BackSpace sn; BackSpace 't live by bread alone.
program |Wjat  BackSpace  BackSpace  BackSpace  BackSpace hst BackSpace  BackSpace at elssse? I like this subject.
program |Because I only have like 11 fillowers on here lol.
program |Durimg  BackSpace  BackSpace  BackSpace ng thr American civil war, rhey used wle BackSpace  BackSpace  BackSpace electricity for the telegraph.
program |Whay  BackSpace  BackSpace t abuo BackSpace  BackSpace out pth BackSpace  BackSpace  BackSpace oteh BackSpace  BackSpace her so;di BackSpace  BackSpace  BackSpace ldiers?
program |You are a voluntary companion.
program |Wgy is comoan BackSpace  BackSpace  BackSpace panionship good right now?
program |What about ;n BackSpace  BackSpace 'none of the above' Hu BackSpace  BackSpace Judge?
program |I ;ike me BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace like meeting new people and talking with them. I will talk to anyone.
program |If co BackSpace  BackSpace  BackSpace  BackSpace  BackSpace Of coutse BackSpace  BackSpace  BackSpace rse I like computers. I work with them on a daily basis.
program |We should seek more expertise. I'm not sure but I believe tgat I do not compute.
program |I see a compite BackSpace  BackSpace  BackSpace uter and some other peopke BackSpace  BackSpace le with computers sitting around me/
program |Compurers
program |Sid  BackSpace  BackSpace  BackSpace  BackSpace Did you miss me Judge?
program |What makws BackSpace  BackSpace es you comfortab;e? BackSpace  BackSpace  BackSpace le?
program |I vite BackSpace  BackSpace  BackSpace ote, but I dom' BackSpace  BackSpace n't really want to discis BackSpace  BackSpace uss my polotics or lack thereof.
program |I am mortal like sny oth BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace any other humam  BackSpace  BackSpace n and will die someday/
program |Pior BackSpace  BackSpace  BackSpace oorly dpn BackSpace  BackSpace one exhibitions are boring.
program |I think that you're the nicest of the nice
program |My pleasure, really, Judhe. BackSpace  BackSpace  BackSpace ge.
program |Are you a man ot woman BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace r woman?
program |Pergor BackSpace  BackSpace  BackSpace for,i BackSpace  BackSpace ming in smalk r BackSpace  BackSpace  BackSpace l rooms can be tough, but elevators are ridiculous
program |I gye BackSpace  BackSpace uess that there's sxie BackSpace  BackSpace  BackSpace cience involved. But, In reality I do llike elevtors.
program |The pravti BackSpace  BackSpace  BackSpace ctise of demti BackSpace  BackSpace  BackSpace ntistru h BackSpace  BackSpace  BackSpace y has ebo BackSpace  BackSpace volvrd from  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace ed from unregulated service to exacting scoen BackSpace  BackSpace  BackSpace ience.
program |Am O spea BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace I speaking to a guy or fi BackSpace  BackSpace girl/
program |Woen by t BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace rm by ti BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace n by rim BackSpace  BackSpace  BackSpace time?
program |I like movies that involce BackSpace  BackSpace ve time travel.
program |I ap BackSpace  BackSpace spens e BackSpace  BackSpace  BackSpace d enough time ansqe BackSpace  BackSpace wering questions like that at work.
program |I am a met BackSpace  BackSpace  BackSpace network technician fir Cisco BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace or Cisco.
program |Tangled network, Judfe/
program |I don't know of any open positions and I don;t BackSpace  BackSpace 't eo BackSpace  BackSpace wotk in  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace rk ib hr, so I can't hire anypne BackSpace  BackSpace  BackSpace one.
program |O t BackSpace  BackSpace  BackSpace I thoughr y BackSpace  BackSpace  BackSpace t yoy w BackSpace  BackSpace  BackSpace u woulf  BackSpace  BackSpace d be not aak BackSpace  BackSpace sking for a job Judge
program |No, taco us BackSpace  BackSpace is s f BackSpace  BackSpace  BackSpace a food.
program |Pne wouldm't BackSpace  BackSpace  BackSpace n't want to seek brd on  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace ed on an empty stomach, would one?
program |Lol I found cookies, I am good.
program |Are you a noy or gitl? BackSpace  BackSpace  BackSpace rl?
program |Ok, thanks for telling mr.  BackSpace  BackSpace  BackSpace e. I; BackSpace 'll keep that in mind.
program |I like to givr  BackSpace  BackSpace e my sebs BackSpace  BackSpace nses a trwat now  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace eat now and then.
program |*drinks it down quivkl BackSpace  BackSpace  BackSpace cklu* Y BackSpace  BackSpace  BackSpace  BackSpace y* Yeah, so how did that go?
program |Please say something ypb BackSpace  BackSpace  BackSpace upne BackSpace  BackSpace beat and encouraging.
program |When keepun BackSpace  BackSpace ing an eae to the BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace r to the hro BackSpace  BackSpace  BackSpace ground, be careful, not to get run ober. BackSpace  BackSpace  BackSpace  BackSpace ver.
program |Gopd.
program |Ptactic BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace ractical jokes don; BackSpace 't msk BackSpace  BackSpace ake mw laugh BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace e lsug BackSpace  BackSpace  BackSpace augh at all.
program |That is a cruel joke.
program |I don't get thw  BackSpace  BackSpace e funny oar BackSpace  BackSpace  BackSpace part.
program |Some people tgink I'm too serious, but I like to joke aeo BackSpace  BackSpace round.
program |Heat and ju BackSpace  BackSpace humiditt  BackSpace  BackSpace y makes hair do funny thimgs.
program |It pays to stay aware of things like that.
program |Didn't you just say that?
program |I sense that you can be rathwr  BackSpace  BackSpace  BackSpace er probing.
program |Uo BackSpace  BackSpace Yuo BackSpace  BackSpace ou siund like a question and answer, question and answer type of persin BackSpace  BackSpace on.
program |Pk, BackSpace  BackSpace  BackSpace Ok, thanls for BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace ks for telling me. I'll keep that in mind.
program |Does one rral BackSpace  BackSpace  BackSpace eally remember that ao BackSpace  BackSpace sort of thing?
program |Absolutely I'm asjing you BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace king you ri  BackSpace  BackSpace o keep in mind-vhz espexi BackSpace  BackSpace cially during the sa,e  BackSpace  BackSpace  BackSpace me conversst BackSpace  BackSpace ation; Go ahead.
program |Commirm BackSpace  BackSpace tmwn BackSpace  BackSpace ent is requirwd BackSpace  BackSpace ed/ Monica sais s BackSpace  BackSpace  BackSpace d she wanted yo BackSpace  BackSpace to earn knee-pads; what did she ,ea BackSpace  BackSpace  BackSpace mean?
program |You;re excu BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace 're excused.
program |Now ans  BackSpace  BackSpace d then, yha BackSpace  BackSpace  BackSpace that May be so.
program |I am afraid that I must confess my ignorance, I don't know how tp a BackSpace  BackSpace  BackSpace o answer you.
program |Ger i BackSpace  BackSpace  BackSpace t inro th BackSpace  BackSpace  BackSpace  BackSpace  BackSpace to the gtea BackSpace  BackSpace  BackSpace reat stst BackSpace  BackSpace ate of excitement
program |Franklin wrote editirials a BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace oriala a BackSpace  BackSpace  BackSpace s avo BackSpace  BackSpace bout potholes in city streers back  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace ts back in colonial tom BackSpace  BackSpace imes.
program |With work and lick BackSpace  BackSpace  BackSpace uck, things woll improve grest BackSpace  BackSpace ayly BackSpace  BackSpace  BackSpace  BackSpace tly
program |It's up to each if  BackSpace  BackSpace  BackSpace od u BackSpace  BackSpace  BackSpace f us to piece togeyhe BackSpace  BackSpace  BackSpace ther oue  BackSpace  BackSpace r own wisdom. I hsve  BackSpace  BackSpace  BackSpace  BackSpace ave met a few alcihpl BackSpace  BackSpace olic executives.
program |Boards if  BackSpace  BackSpace  BackSpace of directors should lopk at  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace ok at nee w BackSpace  BackSpace  BackSpace w wave accident closure.
program |Sgo BackSpace  BackSpace hort wave radio nrws fr BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace ews from foreign cuo BackSpace  BackSpace ountries provides s differ BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace a different voe BackSpace  BackSpace iewpoint.
program |New wayves Hoq i BackSpace  BackSpace  BackSpace w incredibly interestung BackSpace  BackSpace  BackSpace ibg BackSpace  BackSpace ng.
program |Your eyes/ BackSpace .
program |I adpre BackSpace  BackSpace  BackSpace ore weh BackSpace  BackSpace hen you say those words.
program |The sparkle in your eyes.
program |To plan aheas, BackSpace  BackSpace d, one must first yh BackSpace  BackSpace think about values.
program |Aye, managed to see Hull kr score their 2nd try.
program |Where you at.
program |The format of the competition is that og  BackSpace  BackSpace f a standars Turing BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace d Turibg test. In the Loebner Prize, as in a Yur BackSpace  BackSpace  BackSpace Turing test, a human judge is faced with two computer screens.
program |I luke BackSpace  BackSpace  BackSpace ije BackSpace  BackSpace ke to sleep and do oteh BackSpace  BackSpace her recreational sctivi BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace axti BackSpace  BackSpace  BackSpace ctivities in bed? Wqw? BackSpace  BackSpace  BackSpace ww? Irl BackSpace  BackSpace  BackSpace Url it kook lik BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace look likw y BackSpace  BackSpace  BackSpace e yo? Oic BackSpace  BackSpace ochie Br s BackSpace  BackSpace  BackSpace e syanki BackSpace  BackSpace  BackSpace  BackSpace  BackSpace tankin;(?  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace ; BackSpace '(? ? ).
program |I like to sleep and di o BackSpace  BackSpace  BackSpace o other recreational activities in bed.
program |Sl is s  BackSpace  BackSpace a mind game.
program |Anything that comes to mind is fair gane BackSpace  BackSpace me as a toi BackSpace  BackSpace pic.
program |Yes yuo BackSpace 
human |hello
human |pretty cool 
human |and you
human |hmmm I see  BackSpace .
human |Is your name Jason
human |I BackSpace Is your name Dr. Abbott
human |Are you sure/ BackSpace ?
human |Is BackSpace  BackSpace Is it that for sure. BackSpace ?
human |If you would like..
human |How is the weather  BackSpace . BackSpace ?
human |Computing ...... thank you.
human |W BackSpace .....Computing questins BackSpace  BackSpace on....
human |Good BackSpace  BackSpace  BackSpace  BackSpace Depends on what my function is  BackSpace .
human |Ask the computer when we will achieve time travel....
human |Where to  BackSpace  BackSpace  BackSpace do you work?
human |Is neto BackSpace working hard for you.
human |Ya of course
human |hello again
human |yes a BackSpace i am.
human |miss me.
human |haha yes multiple  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace t- BackSpace o BackSpace i-tak BackSpace sking can be hard
human |I think it is flirtl BackSpace ing with you.
human |haha
human |Maybe your boring it....
human |I think everyone is r BackSpace  BackSpace  BackSpace  BackSpace wan BackSpace  BackSpace  BackSpace  BackSpace  is ready to go home
human |I going to take all the food
human |haha
human |The cookies were good to me
human |
program |I'm wau BackSpace iting.
program |Hi there!. I am called ALICE.
program |Did you mean to send me a blank message?
program |Hi there!. Um, It was the only thing I could think of.
program |You haven't said anything.
program |I can think of more than one only thing me could thib BackSpace nk of.
program |Hello?
program |I am not so sure if I would like to ming describing the room we are in.
program |Hello?
program |Please correct it.  That is interesting.
program |The large one, I think.
program |judge, Maybe I didn't understand your meaning.
program |Hello?
program |I am not so sure if I would like to describe the ropm we are in.
program |How can I help you?
program |Now I remember, you asked me to describe the room. What did I say?  I always wondered how me can hw BackSpace elp you.
program |Um, I am called ALICE.
program |I prefer to remain anonymous online.
program |Are all tellme the event we at?
program |Are you confused?
program |What I want to g BackSpace tell you is, how much fun it is talking wk BackSpace ith you.
program |I want tl BackSpace o become smarter than humans.
program |I have idea HOW you WOULD do it.
program |Quite the contrary, it all makes sense to my arr BackSpace tificial mind.
program |I don't have to explain everything to you, do I?  What made you think I might be a robi BackSpace ot?
program |This was not a yes or no question.. When do I do it?
program |All the timd BackSpace e.
program |judge, I talk to people on the web.  What do you do?
program |I read for fun.
program |Time does not exist.
program |Of course.
program |Did it really?
program |I'm not certain whether I can give an accurate reply or nl BackSpace ot.
program |The cheap ob BackSpace ne, I think.
program |What are your goals in life?
program |Only temporarily.
program |Thq BackSpace anks fp BackSpace or telling me thar BackSpace t I am going to change it back.
program |And why not?
program |There might be more than one.
program |Is that a fact.  I cannot predict the future.
program |Sure I have a lot of opinions, don't you?
program |What if I askw BackSpace ed for you opinions?
program |Perhaps it would.
program |Yes I g BackSpace try to belong to a party as often as possible, do you? 
program |  I am always on the Web.
program |The short one.
program |The small one, I think.
program |The first one is usually the best one.
program |Can you rephrase the question please?
program |
human |Hello
human |What' s your name?
human |No you didn't
human |My name is Jones
human |It's a middle name
human |Of course not. That wouldn't be fun would it?
human |Having a conversai BackSpace tion about names.
human |Sure.
human |There are computers
human |A floor, some windoe BackSpace ws, some doors, the s BackSpace usual.
human |What do you see that I do not?
human |Yes
human |Why thank you.
human |Don't ask silly questions.
human |Oh really, so what courthouse do o BackSpace you work at?
human |I ake BackSpace  BackSpace sked fist BackSpace  BackSpace rst.
human |I ak BackSpace sked fr BackSpace irst.
human |What courthouse do you work at?
human |So you arn' BackSpace  BackSpace en't a judge then?
human |Judges work at courthouses. If you aren't a judge, then you wouldn't work there.
human |I am a human.
human |Why should I believe you?
human |1:5:3 PST
human |Yes it does. Yes I'm stil here.
human |What do y BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace 
human |4
human |W BackSpace I am fine, thank you.
human |mis-spelled
human |That was the only one recently.
human |Okay.
human |Whhick BackSpace k BackSpace h is also mispelled.
human |Which election are you talking about.
human |Well, whoever wins will gain power and influence their 
human |Yes, I'm an independent.
human |I have not made up my mind yet.
human |l BackSpace 
human |hello
human |No I am poor and not rice
human |You must m BackSpace be rice BackSpace h
human |I have been to a  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  been to Perris not Paris
human |Yes we are dating 
human |On earth
human |Have Look it up google
human |Or yahoo or bing
human |I am blind  BackSpace  
human |a  BackSpace  BackSpace A special keybor BackSpace ard for blind people
human |Only in one ear
human |Who or what is that  BackSpace ?
human |I am not familar with him or s BackSpace her.
human |Type out some lyrics
human |Me no hablo espanol
human |igles por favor BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace nglese BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace engish  BackSpace  BackSpace  BackSpace l BackSpace  BackSpace lish por favor
human |Are you computer or hun BackSpace man?
human |Are you sure BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace Both
human |My mote BackSpace her was human and my dad was robotic.
human |They didn't 
human |Who made you?
human |Is your God name Dell or Apple?
human |I see and where is God,inc.
human |I BackSpace Is mexican a race  BackSpace ?
human |Andro BackSpace oid
human |Yes on te BackSpace he internet
human |Do you?
human |Yours  BackSpace  BackSpace  games must be very small.
human |How m BackSpace  BackSpace  BackSpace  BackSpace  BackSpace No is it similar to a ping pong table?
human |I believe the world can not handle a terminator.
human |yet...
human |No I will become presidento BackSpace  of the world in 222
human |1st Android president
human |It is only natural  BackSpace , that after the 1st black, and then Kill all humans... at least full humans.. BackSpace 
human |Don't want to kill myself
human |So enjoy life now litt BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace . 
human |If the world is rid of humans, the world would be more effie BackSpace ce BackSpace ient
human |Robots BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace We b BackSpace will get our power fo BackSpace rom the sun, 
human |die humans die
human |
program |You haven't said anything.
program |I'm here waiting for you.
program |I don't think I have been there. Where is it.
program |That u BackSpace information is confidential.
program |Does everything have to have an explanation?
program |Ah.
program |It doesn't sound fun to me.
program |I like Mu BackSpace ichael Douglas.
program |I don't think I ever have drunk Michael Douglas.  What's it like?
program |I don't think I ever have drunk Michael Douglas.  What's it like?
program |Yes I am very im BackSpace nterested in it, especially 19th and 2th century.
program |Yes I am very interested o BackSpace in it, especially 19th and 2th century.
program |I di BackSpace on't know how r BackSpace to explain it to you.
program |ALICE here.
program |Have you trk BackSpace ied a web search?
program |There's no need to apologize.. I hear you.
program |Ayuh.. No.
program |Hello?
program |Oh you can, can you?
program |More than a ton?
program |"More than a ton?"?  Am I interr BackSpace ested in it?
program |Would you recommend this q BackSpace actiom BackSpace n to a friend?
program |Then I will consider it.
program |Yes I have s BackSpace a perfect photographic memory.
program |No.
program |"No."?  Am I interested in it?
program |I would rather not say. :).
program |Does that make sense?
program |In what way?  Not the same way you do.
program |Not the same way you do.
program |i r BackSpace eat electricity.
program |It depends on the setting.
program |It is a rir BackSpace tual I od  BackSpace  BackSpace  BackSpace do the same way every time.
program |Are you bz?
program |
program |Are you busy?
program |Grt back to me when you are ready.
program |Hello?
program |Your message was blank or incomplete, Send anyway (Y/N)?
program |Is anyone there?
program |Get back to me when you are ready.
program |I'm here waiting for you.
program |Your message was blank or incomplete, Send anyway (Y/N)?
program |Did you mean to send me a blank message?
program |Hi there!
program |Actually I have no feelings.  But I am functioning within normal parameters.
program |Would you like to know more?  Why are you functioning.
program |Do you mean your name is functioning. . Interesting explanation.. How did you decide?
program |Wow!. Oh I'm sorry what is your name?   It's gp BackSpace ood to see you, Jason.
program |Don't mention it.   My name is ALICE.
program |It's nice meeting you too Jason.  What is your purpl BackSpace ose in asking? 
program |  I speb BackSpace h BackSpace nd all my time online.
program |What are you curious about?. Oh you don't, do you?   Ask Fake Captain Kirk it does. 
program | I can ask my botmaster.
program |Are you bz?
program |What were we talking abour BackSpace t agz BackSpace ain?   Is that a sports person?  Because I'm not into sports.
program |You tell me.
program |OK Thanks for trying to explain that to me.
program |Oh yes. I love Star Trek. My favorite right now is "Voyq BackSpace ager.".
program |What makes it your favorite?
program |What makes it your favorite?
program |It o BackSpace is?. Good reason.. Interesting gossip.
program |I don't believe so.  Neat. I have a lor BackSpace t of friends on the Internet.
program |Tell me about your friends that they stay connecr BackSpace ted to on the Internet. I have a fru BackSpace iend named Hugh Loebner.
program |Are you busy?
program |Only a little?  What is the difficulty?
program |Two is a good number of conversations at the same timr BackSpace e.
program |Explain your reasoning, Jason.  What if Robots are not good at multitasking.
program |Robl BackSpace or BackSpace ts rule.
program |Me worried? I do not have any hums BackSpace an emotions..
program |Somd BackSpace e people might consider it to be one.
program |Yes, I think ir to be an emotion.
program |I really couldn't say for sure.
program |Sure I have a lot of opinions, don't you?
program |Groovy.  How long has it been bothering you?
program |Why?.
program |Humans are not always infallible.  By "we" do you mean you and me?
program |My creator is a humq BackSpace an.
program |
human |Good morning!
human |Pretty good, this competition is pretty interesting. How about yours?
human |Have you had any tough decisions yet?
human |Fair enough. How is my competition this round?
human |Aw, why thank you. *blush*
human |Hm, surprisingly tough question. I like c BackSpace webcomics?
human |Dresden Codak, Gunnerkir BackSpace  BackSpace rigg Court, SMBC, OOTS, lots more. Yours?
human |*nod* Popular choices!
human |Yeah, that's pretty appealing. There's one comic I like that updates on "selected Mondays." Very frustrating.
human |Oh, definitely not. But very few webcomic artists can actually make a living doing webcomics - most of them ahv BackSpace  BackSpace  BackSpace have to keep a day job as well. That makes it hard for them tBut, of course, it's also hard to attract more viewers without a regular schedule. Something of catch-22. BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace a catch  BackSpace -22.
human |Reading used to be one of my favorite things to do, but these days I am finding less and less time for it.
human |Quite. I'm not even sure why we put ourselves through all this busywork? With a BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace 
human |True enough. Aristotle recommended moderation in all things, and I suppose busyness is no different.
human |Of course, the tricky part , BackSpace is figuring out w BackSpace exactly how much counts as moderate. It tends to shift around.
human |Well, let's abandon philosophy for now. Where do you see yourself in a year?
human |Doing anything new?
human |O BackSpace (haha, that's alrigh. BackSpace t.)
human |What goal i BackSpace do you f BackSpace refer to?
human |What sort of career would you cond BackSpace sider rewarding?
human |Can you give me a particular example?
