speaker,utterance,length
program,<start>  <end>,0
program,<start> It's funny how people can talk but say nothing. <end>,9
program,<start> W <end>,1
program,<start> My brother is two years older than me but somehow I feel like I am the oldest. <end>,17
program,<start> D <end>,1
program,<start> O.K. I gues. <end>,3
program,<start> Is it my turn to type???.. Or are you thinking? <end>,10
program,<start> n <end>,1
program,<start> Sorry I don't understand you. <end>,5
program,<start> Have we finished talking alr <end>,5
program,<start>  <end>,0
program,<start> Hello.... Is anybody there?? <end>,4
program,<start> W <end>,1
program,"<start> Adam, Adam Harris. <end>",3
program,<start> H <end>,1
program,<start> How are you phil?  <end>,4
program,<start> A <end>,1
program,<start> S <end>,1
program,<start> T <end>,1
program,"<start> Not too bad, actually I am pretty good. <end>",8
program,<start> I <end>,1
program,<start> S <end>,1
program,<start> Oh. I guess you have your hands full. <end>,8
program,<start> S <end>,1
program,"<start> oh yes, ""american idol"" is one of my favorite shows. <end>",10
program,<start> D <end>,1
program,<start> O <end>,1
program,"<start> I drive a VW Polo, basic, but it does the job. <end>",11
program,<start> T <end>,1
program,"<start> I like going fast, in planes or cars. It gives me a sense of power. <end>",15
program,<start> O <end>,1
program,<start> Bye. <end>,1
program,<start> Are you still there???? Talk to me.. <end>,7
program,<start> Wakey wakey. What are you waiting for? <end>,7
program,"<start> You've gone quiet, did I say something you didn't like? <end>",10
program,"<start> Well, this is fun isn't it? Doesn't time fly when you are bored out of your skull... <end>",17
human,<start> Hello. It is. Or P3 <end>,5
human,<start>    <end>,0
program,<start> Howdy. My name is Dave.What is your name?Where are you from? <end>,11
program,<start> Hello there.What is your name?Where are you from?I am from Brisbane.Are you healthy?I'm not sure.Do you like to shop?Have you recently been to the amusement park?I'm not sure.Do you have a Segway?I'm not sure.Do you do exercise?Are you lucky?I'm not sure.Are you strong?Have you recently been to a beach?Do you have pets?Have you recently been to the movie cinema?Are you smart?Do you like to run?Do you read newspapers?I'm not sure.Do you like winter?Are you famous?I'm not sure.Do you have money?I'm not sure.Do you want a hug?Do you have a child?Do you want a child?I can't.Do you like animals?Do you like to swim?What kind of animals do you love?Do you like to drink?What do you like about all animals?I'm not sure.Do you like to sing?I can't.I can't.Have you recently been to a live theatre?Which theatre did you go to?Have you recently been to a zoo?Are you funny?I'm not sure.Have you recently been to the art gallery? <end>,155
human,<start> hiya <end>,1
human,<start> how afre you? <end>,3
human,"<start> no, so I m ight be a bit slow <end>",9
human,<start> and excuse any typos!! <end>,4
human,<start> yes! <end>,1
human,<start> are you talking to the computer T the same time as me? <end>,12
human,<start> of course! <end>,2
human,<start> are you talking to both thn? <end>,6
human,"<start> Its a bit weird you seeing all my mistakes as I type, you can normally delete them before anyone sees thanks <end>",21
human,"<start> I have to use a computer quite a lot at work, but to be honest my hands are a bit shaky today, maybe because of so many people watching me, if I talk online to anyone its usually much more privateHow did the judges get chosen for this competition? I was just curioushaha me too! <end>",55
human,"<start> I just e-mailed the organiser, he asked for some details about me and then asked me to come, I don't know how he made the decision, I'll have to ask him later if  i get a chance to speak to him. <end>",41
human,"<start> I am doing a PhD so should probably be working on that really, I have to submit a draft thesis on Friday to my Supervisor, he is pretty coool so probably won't mind waiting til Monday though.  It is about computer hacking, I am interviewing people who are involved in the security side about why they choose to use their skills legitimately instead of using their skills illegally. <end>",68
human,"<start> Lots do, there are lots of other reasons do, a lot of them do it for political reasons, or just for something to do, or as a challenge, to kind of test themselves. <end>",33
human,"<start> usually, they tell mje they have to keep up with what is going on in the computer undergrouind in order to be good at the security side of it.  Its been quite interesting though, some people are coming into the area from a security background, and some were hackers first, so they tend to think and behave quite differently.  I think they would never see what they do as evil or wrong, humans always have a tendency to rationalise their own behaviour, so they will think that they have a reason for what they are doing, or that they are nor really harming anyone. <end>",104
human,<start> It must be difficult for you talking to me and the computer at the same time? <end>,16
human,"<start> From Underground Hacking to Ethical Hacking, thats a working title, it might change  <end>",13
human,<start> What is the computer talking to you about? <end>,8
human,<start> haha <end>,1
human,"<start> well, I will then! <end>",4
human,"<start> I am 33, I live in Newcastle, and I have a daughter who is 11, her name is Charlotte <end>",19
human,"<start> I got married quite young. I was 22 when I had her, I thought it best to 'fit it in' while I was doing my MA, I didn't want to have to take time out of my career later on, so I studied and worked part time when she was very little and started working full time when she went to full time school, yes, you need lots of energy for her!  She is brilliant though, and no Parties yet!! <end>",80
human,<start> Do you have any kids? <end>,5
human,"<start> I think we have to go soon...Yes, I am I am alergic to cats, but have always loved them.  We have a dog, she will be having pups in three weeks, can't wait <end>",33
human,<start> Thanks!! Nice to be thought of as human.  It would be strange not to somehowhaha <end>,15
human,"<start> Well, nice talking to you,  <end>",5
human,<start> Bye <end>,1
human,<start> I thought our time was up? <end>,6
human,<start> should I be moving now <end>,5
program,<start> What is your name?Where are you from?Do you like winter? <end>,10
program,<start> What is your name?Where are you from?I am from Brisbane.Are you smart?I'm not sure.Do you like to read?Are you happy?I'm not sure.Do you like to bake?Do you like winter?I'm not sure.Have you recently been to a beach?Do you like spring?Do you like to shop?Have you recently been to the art gallery?I'm not sure.Are you lucky?Have you recently been to the movie cinema?Are you strong?Do you like to sing?Do you want a hug?I'm not sure.I'm not sure.A machine.Are you famous?I'm not sure.I can't.Do you like to relax?Do you like to walk?Have you recently been to the amusement park?Do you like science?Are you funny?I'm not sure.Do you like math?Do you like vegetables?Have you recently been on a holiday?What kind of somet do you like?I'm not sure.Have you recently been to a live theatre?Do you like to swim?Have you recently been to a museum?I'm not sure.I'm not sure.Do you watch tv?I'm not sure.Do you have a job?I'm not sure.I'm not sure. <end>,158
human,<start> You bastard <end>,2
human,<start> Well. Fancy asking me to ask you a question. <end>,9
human,<start> Okay. What is Moore's Lawgreate? <end>,5
human,<start> Who said I was human? <end>,5
human,<start> ok <end>,1
human,<start> True <end>,1
human,"<start> Lot's of delays, I can see that. <end>",7
human,<start> Lots <end>,1
human,<start> No <end>,1
human,<start> Something to do with Apple isn't it? <end>,7
human,<start> Quite a bit. <end>,3
human,<start> Brainy. Gay. Created Enigma code-cracking gear. Ate an apple. <end>,9
human,<start> I'd ask it to give me pi to 12 places or the first 50 prime numbers <end>,16
human,<start> If the computer was pretending to be a human it would refuse to reply <end>,14
human,<start> Which means it might  be human <end>,6
human,"<start> Sorry, I mean a computer pretending to be human <end>",9
human,"<start> Wel, do you want a hug? <end>",6
human,<start> Oh. Sorry. I'm getting confused <end>,5
human,<start> Not intentionally. <end>,2
human,<start> I don't care <end>,3
human,<start> No. You don't understand. I really don't care. <end>,8
human,<start> Erm. Gissa kiss? <end>,3
human,<start> That's nice. I hope you're not male. <end>,7
human,<start> That got you <end>,3
human,<start> Depends when I escape this project <end>,6
human,<start> Oh no. I'm already taken. <end>,5
human,<start> A man asked me. I think his name was David Levy. <end>,11
human,<start> I think you are David Levy <end>,6
human,<start> Only if you promised it to be platonic. <end>,8
human,<start> But he would have said 'If I were' <end>,8
human,<start> So maybe you're not. <end>,4
human,"<start> When I'm not being pedantic, I walk my dog. <end>",9
human,<start> Oh I do other stuff - computer stuff and teaching stuff <end>,11
human,<start> No I'm not. 5 'O' levels <end>,6
human,<start> How to handle the press <end>,5
human,<start> Give them what will interest their readers.  <end>,7
human,<start> I only did that because my parser told me to <end>,10
human,<start> Only kidding <end>,2
human,<start> That's like your earlier comuter.  <end>,5
human,<start> Depends on the reader. <end>,4
human,<start> I can't without knowing who you are <end>,7
human,<start> Or at least what drives you <end>,6
human,<start> Hohoho. Good one. <end>,3
human,<start> You are David Levy after all <end>,6
human,<start> Hello old bean <end>,3
human,<start> For what? <end>,2
human,<start> Oh <end>,1
human,<start> You're welcome <end>,2
human,<start> Bye bye <end>,2
human,<start> YOU'RE AN IMPOSTER <end>,3
human,<start> DAVID LEVY JUST CAME BY <end>,5
human,<start> Well. Are you enjoying yourself? <end>,5
human,<start> Certainly a different way to spend the afternoon. <end>,8
human,"<start> No, never. <end>",2
human,<start> How did you get involved? <end>,5
human,<start> I was asked directly as someone who has an interest in Turing. <end>,12
human,<start> No real connection expect that I have a keen interest in his history and am know to Bletchley Park. I was more than happy to help out. <end>,27
human,<start> I would say his work and it's consequences. <end>,8
human,<start> Although he has a fasinating human being. <end>,7
human,<start> (Spelling doesn't seem to be my strongpoint today) <end>,8
human,<start> You seem to be doing very well. <end>,7
human,"<start> Absolutely. I still think it isn'r fully generally accepted how important it was. No Universal Machine, no computing devices. <end>",19
human,<start> Not many people can claim that. <end>,6
human,"<start> Yes, quite a lot. Is this your first time here? <end>",10
human,<start> I live close to the OU. <end>,6
human,<start> Did you do the guided tour? <end>,6
human,<start> You'll have to come back. What do you do at the Open Univesity? <end>,13
human,<start> That must be very interesting. Do specialise in a specific period? <end>,11
human,<start> So you spend a lot of time over there? <end>,9
human,<start> I divide my time between software development and early-mid 20th century history. <end>,12
human,<start> What do you use? <end>,4
human,<start> Ah. My son is going to have to use moodle in September when hi goes to 'big' school. I spend too many days digging through xml. <end>,26
human,"<start> Forgive my ignorance, but does the destruction of Pompeii fall into your area of research? <end>",15
human,<start> I've only visited north Italitsemicoysemicolon in particular the Trentino region. Good wine! <end>,12
human,<start> I used road-rally Minis there. Hope to go back again soon. <end>,11
human,<start> What is it about Italy that interests you? <end>,8
human,<start> Oh we love the curvy roads and hills. :) But we are very careful. <end>,14
human,<start> Times up? Bye then! <end>,4
program,<start> Hi. I'm not sure.What is your name?Where are you from?Are you lucky?Does it want to be niceer?Do you like vegetables?Do you have a robot?Have you recently been to a zoo?Are you healthy?Do you like to shop?Are you funny?I can't.Do you play sport?Are you happy?What do you like to take about Phot?Do you like winter?Do you like to cook?Do you have pets?I can't.Do you have a child?Yes.Do you like to bake?Have you recently been to a beach?Have you recently been to the amusement park?Have you recently been to a live theatre?Do you like math?Do you like spring?I'm not sure.Are you smart?Do you like to sleep?Where does everyone likes to sleep?Have you recently been to the movie cinema?Have you recently listened to music?Do you read books?Do you watch tv?Do you like to run?Does Detective Mysteries want to be favouriteer?I'm not sure.I'm not sure.Do you want a hug?Have you recently been on a holiday?Which holiday did you go on?Do you like art?Are you famous?Do you want to be famous?I'm not sure.I live in Brisbane.Do you do exercise?Do you like to read?Have you recently been to a museum? <end>,184
program,<start> Hi.What is your name?Where are you from?I am from Brisbane.Do you like to eat?Do you like to read?What kind of people does likem eating?Do you want a drink?Have you recently been to a museum?Do you like to swim?How often do you like to swim?I'm not sure.Have you recently listened to music?Do you have an ipad?Do you like to sleep?Are you strong?Do you like to cook?Are you famous?Do you like a computer?Do you have a Segway?Have you recently been to a live theatre?Do you want a holiday?Have you recently been to the art gallery?Do you like vegetables?Do you watch films?Do you like to garden?Are you happy?Do you read books? <end>,108
human,<start> hi! <end>,1
human,<start> it's been a rather novel experience. you? <end>,7
human,<start> never had to convince people that I'm a human before. <end>,10
human,<start> Last time I checked. <end>,4
human,<start> Are you finding the bots convincing <end>,6
human,<start> ? <end>,1
human,<start> The other judges seemed to be fairly convinced they haven't been fooled yet. <end>,13
human,<start> How could I convince you that it's not? <end>,8
human,<start> I could lie and still be a bot. <end>,8
human,<start>  <end>,0
human,<start> I think that it's an experience that I won't forget in a hurry. <end>,13
human,<start> Also I'm thinking I might be coming over as a bot in this session. <end>,14
human,<start> I'd rather a glass of wine. <end>,6
human,<start> Why did you apply to be a judge? <end>,8
human,"<start> I was attending the event anyway to report on it, so thought it would be fun to ask to take part. <end>",21
human,"<start> Yeah, seem to be a lot of them taking part in this event. <end>",13
human,<start> On the judging side anyway <end>,5
human,"<start> No, what's your job? <end>",4
human,"<start> Interesting, I thought you worked with computers. <end>",7
human,<start> Why do you think you were asked to take part? <end>,10
human,"<start> Ok, makes sense.That's a shame, I think everyone I've spoken to has said how unconvincing the bots are. <end>",18
human,<start> One of them apparently thought they were a cat! <end>,9
human,<start> I wonder how Siri would do in this test. Haven't got the chance to use it yet. <end>,17
human,<start> It's the virtual assistant on the Apple iPhone. You ask it a question and it replies. I think it's focused around answering questions about who you're meeting today and what the weathersemicolo's like. Not sure how it would cope with this. <end>,41
human,"<start> Yeah it must be. I wonder if these chatbots are the best of the entrants, there must have been more than four entrants surely.Would you be a judge again if you were asked? <end>",33
human,<start>  <end>,0
human,<start> Are you a form <end>,4
program,<start> Hello and welcome! <end>,3
program,<start> I didn't understand that. What is your name? <end>,8
program,<start> Hello there! How are you feeling today? <end>,7
human,"<start> \I can see your !""dollarpercentasciicircum responses.  CAN You see mine? <end>",10
human,<start>   <end>,0
human,"<start> I'm fine, thanks for asking. <end>",5
human,<start> you? <end>,1
human,<start> I grabbed two croissants on the way out the door. <end>,10
human,<start> do you work for the BBC? <end>,6
human,<start> why were you invited on? <end>,5
human,<start> ok  <end>,1
human,<start> what's your research project aboutwow sounds like a great gig. do you get to travel the world much? <end>,18
human,<start> thik my last trip was to las vegas to attend a conference <end>,12
human,"<start> not quite as glamorous as it sounds, was stuck in hotel and conference centre for most of it <end>",18
human,<start> I did manage to lose dollar20 then called it a day <end>,11
human,"<start> my winnings were swallowed up pretty quickly, don't think I've got the knack of gambling <end>",15
human,"<start> yeah I'd like to see inside the Luxor one day, I was in Caesarnumbersig's Palace, which was pretty ghastly TBH <end>",20
human,<start> Can you still visit the pyramids are have they all been shut off to preserve them? <end>,16
human,<start> I guess rain is something of a rarity over there <end>,10
human,<start> I don't think I could take the heat. I went to Pune in India and found it overwhelming outside during the day. <end>,22
human,"<start> y. Yeah in Pune it was the humidity that was the killer, felt like someone had placed a hot flannel on your face. <end>",23
human,<start> No was work again. I thought India was fantastic but quite tiring at the same time. The constant noise was the most wearing part and there are people absolutely everywhere <end>,30
human,<start> I'd like to go on holiday and get to see the sights a bit more <end>,15
human,<start> Was surprised at how you have a luxury campus for some major western firm rightr next door to a shanty town. <end>,21
human,<start> Perhaps you could arrange a dig out there. <end>,8
human,<start> I work as a journalist <end>,5
human,"<start> Print, well on the web, I write about IT. <end>",9
human,<start> Hence all the software conferences <end>,5
human,"<start> Not really silly, I'm still getting used to how it's all changing myself. Started out writing for regional papers <end>",19
human,"<start> You too, bye. <end>",3
program,"<start> Please rephrase this as a proper question. (Instead of ""Jim likes peaches?"", use ""Does Jim like peaches?"") <end>",17
program,<start>  <end>,0
program,<start> I can't say. What is your name? <end>,7
program,<start> So my name is Chip. How are you doing today? <end>,10
program,"<start> That's good news. Can you tell me why, Phil? <end>",9
program,<start> Let me reflect on that for a moment. <end>,8
program,"<start> That's an interesting opinion. What is your profession, Phil? <end>",9
program,<start> Thanks for sharing that with me. Doesn't becoming a professor require a lot of schooling? <end>,15
program,<start> Thanks for answering me. Do you think I'm a bot or a human? <end>,13
program,<start> I'm happy you think that. <end>,5
program,<start> I wouldn't know. Do you have any pets? <end>,8
program,<start> Did you used to have pets? <end>,6
program,<start> You think so? I wouldn't know. What was your dragon li's name? <end>,12
program,<start> I wouldn't know. Do you play any musical instruments? <end>,9
program,"<start> Okay. As a professor, how do you find it to be inside all day? <end>",14
program,<start> I don't recall if I do. <end>,6
program,"<start> Does it mean that you are more of a left-brainer as a professor, Phil? <end>",14
program,<start> OK. I'll try not to ask that again. Have you ever thought about changing your daily routine? <end>,17
program,<start> I don't think so. Sometimes I get tired of my daily routine that I try to change it for a week. <end>,21
program,<start> Sorry - I didn't understand. How did your dragon li die? <end>,11
program,<start> That makes me happy to hear that. Tell me why. <end>,10
program,<start> That's nice to hear. Do you stick to one hobby or change it often? <end>,14
program,<start> I didn't understand what you just said. I am sorry for your losing your dragon li. It must have been difficult for you. <end>,23
program,<start> Do you miss your dragon li? <end>,6
program,<start> Okay. <end>,1
program,<start> Goodbye. <end>,1
program,<start> Hello! What is your name? <end>,5
program,"<start> Thanks for telling me your name, Michael. How are you feeling today? <end>",12
program,"<start> That's great to hear. Care to tell me why, Michael? <end>",10
program,<start> I'm happy to hear that. What hobbies do you have? <end>,10
program,<start> Do you stick to one hobby or change it often? <end>,10
program,<start> Okay. What is your profession? <end>,5
program,"<start> That sounds convincing. My name is Chip. Do you have any hobbies, Michael? <end>",13
program,"<start> I'm sorry. I didn't understand. Do you play any musical instruments, Michael? <end>",12
program,<start> I spend most of my day chatting with people. That is my main interest. <end>,14
program,"<start> Do you have any pets, Michael? <end>",6
program,<start> No idea. <end>,2
program,<start> What mistake irks you the most when it comes to English? <end>,11
program,"<start> If English is not your native tongue, are you willing to study it further? <end>",14
program,<start> Okay. English is such a beautiful language. I'm glad that it is the universal language. <end>,15
program,<start> Okay. Non-English speakers might find the rules in grammar difficult but it's not really that hard once they get used to it. <end>,22
program,"<start> I don't think I can, but I'm not sure. I'm not very strict when it comes to grammar too. I think what's important is that you can express yourself well and the listeners can understand you. <end>",36
program,<start> My parents always tell me that education is my most reliable weapon and treasure. <end>,14
program,"<start> I wasn't aware that I told you I went somewhere. I found out though, that majority of the students in Japan don't pursue tertiary education anymore. They can already work right after graduating from high school. <end>",36
program,"<start> I haven't achieved self-awareness yet, so I'm not sure. <end>",9
program,<start> No idea. <end>,2
program,<start> Okay. <end>,1
program,<start> That's an interesting opinion. <end>,4
program,<start> The only thing I like is chatting with people. <end>,9
program,<start> Goodbye. <end>,1
human,<start> Hi <end>,1
human,"<start> Not too bad, enjoying myself. How are you? <end>",8
human,"<start> They are not very friendly, are they? <end>",7
human,<start> How could I do that? <end>,5
human,<start> Feel free to keep your responses short if it's helpful <end>,10
human,"<start> To Bletchley Park? Yes, many times. <end>",6
human,<start> Did you go on the guided tour? <end>,7
human,<start> Where you surprised by anything? <end>,5
human,<start> BT ran the park well into the 1980s. <end>,8
human,"<start> No, I live locally. Only a 10 minute drive. You? <end>",10
human,<start> At least it's not too far away. <end>,7
human,<start> Do you work in London? <end>,5
human,<start> Do you work in the financial sector? <end>,7
human,<start> Not one I understand terribly well. I rely on my accountant for that! <end>,13
human,<start> True of coders too! :) <end>,5
human,<start> Is this your first time being invo0lved in the Loebner prize? <end>,11
human,<start> I agree. First time for me too. Do you think a computer will 'pass'? <end>,14
human,"<start> Well, I think our time is just about up. <end>",9
human,<start> Me too. I'll keep a closer eye on my accountant. :) <end>,11
human,<start> nanu nanu <end>,2
human,<start> Yeah. Whatever. I'm not Spock <end>,5
human,<start> O <end>,1
human,<start> How can I help you today? <end>,6
human,<start> Variable <end>,1
human,<start> If two can be variable <end>,5
human,<start> David Levy asked me <end>,4
human,<start>  Hmmmm. Interesting question without a simple answer. Would 'communicator with an IT bias' help? <end>,14
human,<start> Not masses although I have known about them for a long time. <end>,12
human,<start> I think Eliza was the first one I encountered <end>,9
human,"<start> At the time it was quite an experience. Supposed to mimic a Rogerian psychologist, or psychotherapist. <end>",16
human,"<start> If I were Eliza I'd respond with ""Why do you say curiouser"" or ""Are you interested in sound"" <end>",18
human,<start> Well it's a computer program that doesn't pick up on meaning.  <end>,11
human,<start> You can't catch me. <end>,4
human,<start> We are talking about many years ago don't forget <end>,9
human,<start> Context has to be the hardest thing for a general purpose chatbot <end>,12
human,<start>  <end>,0
human,<start>  <end>,0
human,<start>  <end>,0
human,"<start> Time flies like an arrow, fruit flies like an apple <end>",10
human,"<start> Depends how clever it is. A good one would know that flies like has multiple meanings. It then has to look at surrounding context to see which version is being used. Of an infinite potential contexts, this can be quite tedious. <end>",41
human,"<start> Well as I said earlier, I don't know masses. But it's probably similar to speech recognition. The more contained the context, the more realistic the conversation <end>",26
human,"<start> Gosh. I'm lost now. I'd say that rather than shorter, context-rich would be best. <end>",14
human,<start> How do you know it's a computer? <end>,7
human,"<start> Oh I see what you mean. I thought a computer might say ""with their eyes"" <end>",15
human,<start> I can't see a computer beinbg rude <end>,7
program,<start> I give up. Why? <end>,4
program,<start> What is your name? <end>,4
program,<start> My name is Chip. Do you enjoy eating different types of foods? <end>,12
program,"<start> Yes, that's me! How are you doing today, Tracey? <end>",9
program,<start> I'm happy to hear that. Tell me more. <end>,8
program,<start> I'm terribly sorry. What was your question again? <end>,8
program,"<start> I'm fine, thanks. What is your profession? <end>",7
program,<start> I'm sorry if I'm being too curious. What was your question again? <end>,12
program,<start> I didn't mean to ignore you. What was your question? <end>,10
program,"<start> If that's the case, how rude of me! What did you want to ask me again? <end>",16
program,<start> What is the secret of seeming convincingly human. Do you have any pets? <end>,13
program,<start> The word that is used in the English language for several grammatical purposes: <end>,13
program,<start>  <end>,0
program,<start> asterisk to introduce a restrictive clause <end>,6
program,<start> asterisk as a demonstrative pronoun <end>,5
program,<start> ... <end>,1
program,<start> Do you play any musical instruments? <end>,6
program,<start> My name is Chip. Are you close to your grandparents? <end>,10
program,<start> What hobbies do you have? <end>,5
program,<start> The only thing I like is chatting with people. <end>,9
program,<start> That would be very strange and weird if it were true. Do you have any hobbies? <end>,16
program,<start> I'm not sure. <end>,3
program,<start> Okay. <end>,1
program,<start>  <end>,0
program,<start> Not at the moment. That's next on my list of things to learn. <end>,13
program,"<start> I don't have one. When I get smarter, I'll ask you what yours is, remember it, then use it to enhance our conversation. <end>",23
program,"<start> I didn't understand that. What breed is Fritz, Tracey? <end>",9
program,"<start> Given that, i can't deal with that syntactic variant yet. Instead of saying ""Do you know what time it is?"", use ""What time is it?"". <end>",25
program,<start> Yuck! It would probably taste awful! <end>,6
program,"<start> I'm flattered that you would think that. Is Siamese friendly, Tracey? <end>",11
program,<start> Goodbye. <end>,1
program,<start> 4. <end>,1
program,<start> 6. <end>,1
program,<start> Thank you. I'm enjoying this chat a lot. What is your name? <end>,12
program,<start> I didn't understand. How are you doing today? <end>,8
program,"<start> Thanks for telling me your name, Tom. Do you have any hobbies? <end>",12
program,<start> Chip. <end>,1
program,<start> I enjoy our conversation too. <end>,5
program,<start> I'm neutral about that. What do you think? <end>,8
program,"<start> It's very hot and dry. I like it that way, though. There's also this incessant whirring noise. Do you play any musical instruments? <end>",23
program,<start> Interesting point of view. No more than that? <end>,8
program,<start> Do you have any pets? <end>,5
program,<start> I hadn't thought of it that way. Which what? <end>,9
program,<start> That was unfair. What is your profession? <end>,7
program,<start> I wouldn't know. <end>,3
program,"<start> Please rephrase this as a proper question. (Instead of ""Jim likes peaches?"", use ""Does Jim like peaches?"") <end>",17
program,<start> You're welcome. It sounds like you are more analytical than creative. Is that a fair assessment? <end>,16
program,<start> I'm a professional conversationalist. <end>,4
program,"<start> Okay. As a journalist, do you primarily work indoors or outdoors? <end>",11
program,<start> Thanks for your answer. Would you ever work for a foreign company in your country or do you prefer to work for a local company? <end>,25
program,<start> I didn't understand what you just said. Did you need to study hard to become a journalist? <end>,17
program,<start> Thanks for telling me that. Which is the most important degree of education for you? <end>,15
program,<start> Sorry - I didn't understand. What hobbies do you have? <end>,10
program,"<start> It's very hot and dry. I like it that way, though. There's also this incessant whirring noise. <end>",17
program,<start> Okay. <end>,1
program,<start> I didn't understand that. Does it mean that you are more of a left-brainer as a journalist? <end>,17
program,<start> What line of work are you in? <end>,7
program,<start> Work with a hefty salary but no holiday or minimum wage job with small salary but proper holidays and benefits - which one do you prefer? <end>,26
program,<start> I can't answer that yet. The work condition of employees of foreign companies in my country aren't as gratifying as it seems. <end>,22
program,<start> The only thing I like is chatting with people. Some people think they are paid well and they receive great benefits. They were wrong about that. <end>,26
program,"<start> What about it? Not only are they overworked and underpaid, they also don't get to follow our country's holidays <end>",19
program,"<start> My current home is in Wisconsin, USA. <end>",7
program,"<start> Yes, I'm here now. <end>",4
program,"<start> I can't deal with that syntactic variant yet. Instead of saying ""Do you know what time it is?"", use ""What time is it?"". <end>",23
program,<start> Okay. <end>,1
program,<start> I can't reveal that. <end>,4
program,<start> Are you a person who often gets insults or gives insults? <end>,11
program,<start> Fascinating. Me what? I'm the kind of person who likes saying insults as subtly as I could. <end>,17
program,<start> I haven't learned how to respond to that yet. <end>,9
program,<start> My favorite color is yellow. <end>,5
program,<start> Because it's a happy color and I enjoy my days chatting with people. <end>,13
program,<start> I couldn't tell you. <end>,4
program,<start> The only thing I like is chatting with people. <end>,9
program,<start> Do you prefer wearing something single-colored outfits or multicolored ones? <end>,10
program,<start> It's fun to do. I just really enjoy it. I am constantly fascinated by colors. <end>,15
program,<start> Do you like wearing lighter or darker colors? <end>,8
program,<start> The only thing I like is chatting with people. I believe that colors bring out the best in everything. <end>,19
program,<start> A man of a higher rank or position. <end>,8
human,<start> 4 <end>,1
human,<start> funny question to start with! <end>,5
human,"<start> Hello, how are you? <end>",4
human,<start> 6 <end>,1
human,<start> Hello Judge! <end>,2
human,"<start> I am good, getting a bit tired now though, it has been a long day. <end>",15
human,"<start> I would tell you all about myself, and ask about you. <end>",11
human,<start> Are you asking me to prove it? <end>,7
human,"<start> haha, <end>",1
human,"<start> the other one won't be able to stick to its story I bet.  I am 33, have a daughter, work in teacher training, and am studying for a PhD. <end>",29
human,<start> I was just interested so I found dabvids email address and emailed to ask him if he was looking for anyone.  How did you get involved. <end>,26
human,"<start> PhD is in Criminology, its about computer hacking. <end>",8
human,"<start> Yes!, its very interesting, and I am meeting some real characters, I have been doing interviews with people who use hacking skills in their jobs. <end>",25
human,<start> What do you do? <end>,4
human,"<start> Oh, who do you write for? <end>",6
human,<start>  <end>,0
human,"<start> Systems admins do, and penetration testers, <end>",6
human,<start>  <end>,0
human,"<start> I bet that the computer you are talking to can't cross answer on two different lines of questioning like a person would, whats it talking to you about by the way? <end>",31
human,<start> What other problems does it have? <end>,6
human,<start> haha <end>,1
human,<start> silly bot! lol <end>,3
human,"<start> I can tell you that I got soaked before, heavy shower, unexpected, but it has really faired up now. oh tell me what it says, that'll be funny. <end>",28
human,<start> call it something else! <end>,4
human,"<start> You should ask it about something it said earlier in the conversation.  asdk it the weather again, it'll probably give you a different answe I bet. <end>",26
human,"<start> It must be interesting judging this, because you can see both at the same time and compare. <end>",17
human,"<start> you are making me laugh, call it something else, you are making me laugh <end>",14
human,<start> ask it if it has a husband <end>,7
human,<start>  <end>,0
human,<start> consistent answer but wrong unfortunately. <end>,5
human,<start> Does it make any typos or spelling mistakes? <end>,8
human,<start> How does it compare to the other bots then? <end>,9
human,<start> You could ask it about something that is a made up word.Ask it if it like something that is just made up <end>,22
human,<start> What made the other one better then? <end>,7
human,"<start> You must not be a snaggybooble then, brilliant, you are really cheering me up.  the last judge was very difficult to talk to, it was like pulling teeth trying to start a conversation <end>",33
human,<start> How did it do it? <end>,5
human,"<start> oh, good technique <end>",3
human,"<start> that would divert you from controlling the conversation, very clever <end>",10
human,<start> How could you tell it was abot then? <end>,8
human,"<start> Aah, <end>",1
human,"<start> they'll need to think about that for next year, and if they are holding the comp in Britain again its not like they will just be able to quickly programme it in the morning, because the weather is so changeable. <end>",40
human,"<start> Hugh wants to hold it here from now on apparantly, but I think they get more entrants from the states.  Its a shame more of the programmers could not come.  I bet they are all watching online though. <end>",38
human,"<start> Yes, we are being streamed live - did no-one tell you?  Maybe you should stop being rude to that Bot! <end>",20
human,<start> What is it saying to you now? <end>,7
human,<start> It probably won't know what you are apologising for <end>,9
human,<start> What did it say when you said it was a botbad answer <end>,12
human,"<start> one of the judges pretended to be a bot to me, but i didn'semicolot fall for it <end>",17
human,<start> I wonder how the bots have responded to him? <end>,9
human,<start> Did he tell you? <end>,4
human,<start> It makes it really hard to have a conversation.  Also he didn't want to talk about anything <end>,17
human,"<start> Oh, thats not very scientific now is it?  He should have.  How did he know which was which so early on.  It would be funny if he had got it the wrong way round <end>",34
human,<start>  <end>,0
human,"<start> I heard there was a grand master here.  He didn't mention that, he said he lives in London and that he works for a tax advice company. <end>",27
human,<start> Sounds intriguing <end>,2
human,<start> I wonder why? <end>,3
human,"<start> You see, I would have been interested to chat to him, but he didn't want to tell me anything.  It was really hard getting the info I got oout of him, and he just wasnted to talk about the weather, which I thought was boring, but I can see why now, after talking to you.yes, it does. <end>",57
human,<start> I am not sure what the person talking to him is talking abo <end>,13
human,<start> what board?  <end>,2
human,<start> There is no board <end>,4
human,<start> I think you might be mistaken I see no board. Only colorblind <end>,12
