speaker,utterance
human,"<start> Yeah it must be. I wonder if these chatbots are the best of the entrants, there must have been more than four entrants surely.Would you be a judge again if you were asked?"
human,<start> 
human,<start> Are you a form
program,<start> Hello and welcome!
program,<start> I didn't understand that. What is your name?
program,<start> Hello there! How are you feeling today?
human,"<start> \I can see your !""dollarpercentasciicircum responses.  CAN You see mine?"
human,<start>  
human,"<start> I'm fine, thanks for asking."
human,<start> you?
human,<start> I grabbed two croissants on the way out the door.
human,<start> do you work for the BBC?
human,<start> why were you invited on?
human,<start> ok 
human,<start> what's your research project aboutwow sounds like a great gig. do you get to travel the world much?
human,<start> thik my last trip was to las vegas to attend a conference
human,"<start> not quite as glamorous as it sounds, was stuck in hotel and conference centre for most of it"
human,<start> I did manage to lose dollar20 then called it a day
human,"<start> my winnings were swallowed up pretty quickly, don't think I've got the knack of gambling"
human,"<start> yeah I'd like to see inside the Luxor one day, I was in Caesarnumbersig's Palace, which was pretty ghastly TBH"
human,<start> Can you still visit the pyramids are have they all been shut off to preserve them?
human,<start> I guess rain is something of a rarity over there
human,<start> I don't think I could take the heat. I went to Pune in India and found it overwhelming outside during the day.
human,"<start> y. Yeah in Pune it was the humidity that was the killer, felt like someone had placed a hot flannel on your face."
human,<start> No was work again. I thought India was fantastic but quite tiring at the same time. The constant noise was the most wearing part and there are people absolutely everywhere
human,<start> I'd like to go on holiday and get to see the sights a bit more
human,<start> Was surprised at how you have a luxury campus for some major western firm rightr next door to a shanty town.
human,<start> Perhaps you could arrange a dig out there.
human,<start> I work as a journalist
human,"<start> Print, well on the web, I write about IT."
human,<start> Hence all the software conferences
human,"<start> Not really silly, I'm still getting used to how it's all changing myself. Started out writing for regional papers"
human,"<start> You too, bye."
program,"<start> Please rephrase this as a proper question. (Instead of ""Jim likes peaches?"", use ""Does Jim like peaches?"")"
program,<start> 
program,<start> I can't say. What is your name?
program,<start> So my name is Chip. How are you doing today?
program,"<start> That's good news. Can you tell me why, Phil?"
program,<start> Let me reflect on that for a moment.
program,"<start> That's an interesting opinion. What is your profession, Phil?"
program,<start> Thanks for sharing that with me. Doesn't becoming a professor require a lot of schooling?
program,<start> Thanks for answering me. Do you think I'm a bot or a human?
program,<start> I'm happy you think that.
program,<start> I wouldn't know. Do you have any pets?
program,<start> Did you used to have pets?
program,<start> You think so? I wouldn't know. What was your dragon li's name?
program,<start> I wouldn't know. Do you play any musical instruments?
program,"<start> Okay. As a professor, how do you find it to be inside all day?"
program,<start> I don't recall if I do.
program,"<start> Does it mean that you are more of a left-brainer as a professor, Phil?"
program,<start> OK. I'll try not to ask that again. Have you ever thought about changing your daily routine?
program,<start> I don't think so. Sometimes I get tired of my daily routine that I try to change it for a week.
program,<start> Sorry - I didn't understand. How did your dragon li die?
program,<start> That makes me happy to hear that. Tell me why.
program,<start> That's nice to hear. Do you stick to one hobby or change it often?
program,<start> I didn't understand what you just said. I am sorry for your losing your dragon li. It must have been difficult for you.
program,<start> Do you miss your dragon li?
program,<start> Okay.
program,<start> Goodbye.
program,<start> Hello! What is your name?
program,"<start> Thanks for telling me your name, Michael. How are you feeling today?"
program,"<start> That's great to hear. Care to tell me why, Michael?"
program,<start> I'm happy to hear that. What hobbies do you have?
program,<start> Do you stick to one hobby or change it often?
program,<start> Okay. What is your profession?
program,"<start> That sounds convincing. My name is Chip. Do you have any hobbies, Michael?"
program,"<start> I'm sorry. I didn't understand. Do you play any musical instruments, Michael?"
program,<start> I spend most of my day chatting with people. That is my main interest.
program,"<start> Do you have any pets, Michael?"
program,<start> No idea.
program,<start> What mistake irks you the most when it comes to English?
program,"<start> If English is not your native tongue, are you willing to study it further?"
program,<start> Okay. English is such a beautiful language. I'm glad that it is the universal language.
program,<start> Okay. Non-English speakers might find the rules in grammar difficult but it's not really that hard once they get used to it.
program,"<start> I don't think I can, but I'm not sure. I'm not very strict when it comes to grammar too. I think what's important is that you can express yourself well and the listeners can understand you."
program,<start> My parents always tell me that education is my most reliable weapon and treasure.
program,"<start> I wasn't aware that I told you I went somewhere. I found out though, that majority of the students in Japan don't pursue tertiary education anymore. They can already work right after graduating from high school."
program,"<start> I haven't achieved self-awareness yet, so I'm not sure."
program,<start> No idea.
program,<start> Okay.
program,<start> That's an interesting opinion.
program,<start> The only thing I like is chatting with people.
program,<start> Goodbye.
human,<start> Hi
human,"<start> Not too bad, enjoying myself. How are you?"
human,"<start> They are not very friendly, are they?"
human,<start> How could I do that?
human,<start> Feel free to keep your responses short if it's helpful
human,"<start> To Bletchley Park? Yes, many times."
human,<start> Did you go on the guided tour?
human,<start> Where you surprised by anything?
human,<start> BT ran the park well into the 1980s.
human,"<start> No, I live locally. Only a 10 minute drive. You?"
human,<start> At least it's not too far away.
human,<start> Do you work in London?
human,<start> Do you work in the financial sector?
human,<start> Not one I understand terribly well. I rely on my accountant for that!
human,<start> True of coders too! colon)
human,<start> Is this your first time being invo0lved in the Loebner prize?
human,<start> I agree. First time for me too. Do you think a computer will 'pass'?
human,"<start> Well, I think our time is just about up."
human,<start> Me too. I'll keep a closer eye on my accountant. colon)
human,<start> nanu nanu
human,<start> Yeah. Whatever. I'm not Spock
human,<start> O
human,<start> How can I help you today?
human,<start> Variable
human,<start> If two can be variable
human,<start> David Levy asked me
human,<start>  Hmmmm. Interesting question without a simple answer. Would 'communicator with an IT bias' help?
human,<start> Not masses although I have known about them for a long time.
human,<start> I think Eliza was the first one I encountered
human,"<start> At the time it was quite an experience. Supposed to mimic a Rogerian psychologist, or psychotherapist."
human,"<start> If I were Eliza I'd respond with ""Why do you say curiouser"" or ""Are you interested in sound"""
human,<start> Well it's a computer program that doesn't pick up on meaning. 
human,<start> You can't catch me.
human,<start> We are talking about many years ago don't forget
human,<start> Context has to be the hardest thing for a general purpose chatbot
human,<start> 
human,<start> 
human,<start> 
human,"<start> Time flies like an arrow, fruit flies like an apple"
human,"<start> Depends how clever it is. A good one would know that flies like has multiple meanings. It then has to look at surrounding context to see which version is being used. Of an infinite potential contexts, this can be quite tedious."
human,"<start> Well as I said earlier, I don't know masses. But it's probably similar to speech recognition. The more contained the context, the more realistic the conversation"
human,"<start> Gosh. I'm lost now. I'd say that rather than shorter, context-rich would be best."
human,<start> How do you know it's a computer?
human,"<start> Oh I see what you mean. I thought a computer might say ""with their eyes"""
human,<start> I can't see a computer beinbg rude
program,<start> I give up. Why?
program,<start> What is your name?
program,<start> My name is Chip. Do you enjoy eating different types of foods?
program,"<start> Yes, that's me! How are you doing today, Tracey?"
program,<start> I'm happy to hear that. Tell me more.
program,<start> I'm terribly sorry. What was your question again?
program,"<start> I'm fine, thanks. What is your profession?"
program,<start> I'm sorry if I'm being too curious. What was your question again?
program,<start> I didn't mean to ignore you. What was your question?
program,"<start> If that's the case, how rude of me! What did you want to ask me again?"
program,<start> What is the secret of seeming convincingly human. Do you have any pets?
program,<start> The word that is used in the English language for several grammatical purposescolon
program,<start> 
program,<start> asterisk to introduce a restrictive clause
program,<start> asterisk as a demonstrative pronoun
program,<start> ...
program,<start> Do you play any musical instruments?
program,<start> My name is Chip. Are you close to your grandparents?
program,<start> What hobbies do you have?
program,<start> The only thing I like is chatting with people.
program,<start> That would be very strange and weird if it were true. Do you have any hobbies?
program,<start> I'm not sure.
program,<start> Okay.
program,<start> 
program,<start> Not at the moment. That's next on my list of things to learn.
program,"<start> I don't have one. When I get smarter, I'll ask you what yours is, remember it, then use it to enhance our conversation."
program,"<start> I didn't understand that. What breed is Fritz, Tracey?"
program,"<start> Given that, i can't deal with that syntactic variant yet. Instead of saying ""Do you know what time it is?"", use ""What time is it?""."
program,<start> Yuck! It would probably taste awful!
program,"<start> I'm flattered that you would think that. Is Siamese friendly, Tracey?"
program,<start> Goodbye.
program,<start> 4.
program,<start> 6.
program,<start> Thank you. I'm enjoying this chat a lot. What is your name?
program,<start> I didn't understand. How are you doing today?
program,"<start> Thanks for telling me your name, Tom. Do you have any hobbies?"
program,<start> Chip.
program,<start> I enjoy our conversation too.
program,<start> I'm neutral about that. What do you think?
program,"<start> It's very hot and dry. I like it that way, though. There's also this incessant whirring noise. Do you play any musical instruments?"
program,<start> Interesting point of view. No more than that?
program,<start> Do you have any pets?
program,<start> I hadn't thought of it that way. Which what?
program,<start> That was unfair. What is your profession?
program,<start> I wouldn't know.
program,"<start> Please rephrase this as a proper question. (Instead of ""Jim likes peaches?"", use ""Does Jim like peaches?"")"
program,<start> You're welcome. It sounds like you are more analytical than creative. Is that a fair assessment?
program,<start> I'm a professional conversationalist.
program,"<start> Okay. As a journalist, do you primarily work indoors or outdoors?"
program,<start> Thanks for your answer. Would you ever work for a foreign company in your country or do you prefer to work for a local company?
program,<start> I didn't understand what you just said. Did you need to study hard to become a journalist?
program,<start> Thanks for telling me that. Which is the most important degree of education for you?
program,<start> Sorry - I didn't understand. What hobbies do you have?
program,"<start> It's very hot and dry. I like it that way, though. There's also this incessant whirring noise."
program,<start> Okay.
program,<start> I didn't understand that. Does it mean that you are more of a left-brainer as a journalist?
program,<start> What line of work are you in?
program,<start> Work with a hefty salary but no holiday or minimum wage job with small salary but proper holidays and benefits - which one do you prefer?
program,<start> I can't answer that yet. The work condition of employees of foreign companies in my country aren't as gratifying as it seems.
program,<start> The only thing I like is chatting with people. Some people think they are paid well and they receive great benefits. They were wrong about that.
program,"<start> What about it? Not only are they overworked and underpaid, they also don't get to follow our country's holidays"
program,"<start> My current home is in Wisconsin, USA."
program,"<start> Yes, I'm here now."
program,"<start> I can't deal with that syntactic variant yet. Instead of saying ""Do you know what time it is?"", use ""What time is it?""."
program,<start> Okay.
program,<start> I can't reveal that.
program,<start> Are you a person who often gets insults or gives insults?
program,<start> Fascinating. Me what? I'm the kind of person who likes saying insults as subtly as I could.
program,<start> I haven't learned how to respond to that yet.
program,<start> My favorite color is yellow.
program,<start> Because it's a happy color and I enjoy my days chatting with people.
program,<start> I couldn't tell you.
program,<start> The only thing I like is chatting with people.
program,<start> Do you prefer wearing something single-colored outfits or multicolored ones?
program,<start> It's fun to do. I just really enjoy it. I am constantly fascinated by colors.
program,<start> Do you like wearing lighter or darker colors?
program,<start> The only thing I like is chatting with people. I believe that colors bring out the best in everything.
program,<start> A man of a higher rank or position.
human,<start> 4
human,<start> funny question to start with!
human,"<start> Hello, how are you?"
human,<start> 6
human,<start> Hello Judge!
human,"<start> I am good, getting a bit tired now though, it has been a long day."
human,"<start> I would tell you all about myself, and ask about you."
human,<start> Are you asking me to prove it?
human,"<start> haha,"
human,"<start> the other one won't be able to stick to its story I bet.  I am 33, have a daughter, work in teacher training, and am studying for a PhD."
human,<start> I was just interested so I found dabvids email address and emailed to ask him if he was looking for anyone.  How did you get involved.
human,"<start> PhD is in Criminology, its about computer hacking."
human,"<start> Yes!, its very interesting, and I am meeting some real characters, I have been doing interviews with people who use hacking skills in their jobs."
human,<start> What do you do?
human,"<start> Oh, who do you write for?"
human,<start> 
human,"<start> Systems admins do, and penetration testers,"
human,<start> 
human,"<start> I bet that the computer you are talking to can't cross answer on two different lines of questioning like a person would, whats it talking to you about by the way?"
human,<start> What other problems does it have?
human,<start> haha
human,<start> silly bot! lol
human,"<start> I can tell you that I got soaked before, heavy shower, unexpected, but it has really faired up now. oh tell me what it says, that'll be funny."
human,<start> call it something else!
human,"<start> You should ask it about something it said earlier in the conversation.  asdk it the weather again, it'll probably give you a different answe I bet."
human,"<start> It must be interesting judging this, because you can see both at the same time and compare."
human,"<start> you are making me laugh, call it something else, you are making me laugh"
human,<start> ask it if it has a husband
human,<start> 
human,<start> consistent answer but wrong unfortunately.
human,<start> Does it make any typos or spelling mistakes?
human,<start> How does it compare to the other bots then?
human,<start> You could ask it about something that is a made up word.Ask it if it like something that is just made up
human,<start> What made the other one better then?
human,"<start> You must not be a snaggybooble then, brilliant, you are really cheering me up.  the last judge was very difficult to talk to, it was like pulling teeth trying to start a conversation"
human,<start> How did it do it?
human,"<start> oh, good technique"
human,"<start> that would divert you from controlling the conversation, very clever"
human,<start> How could you tell it was abot then?
human,"<start> Aah,"
human,"<start> they'll need to think about that for next year, and if they are holding the comp in Britain again its not like they will just be able to quickly programme it in the morning, because the weather is so changeable."
human,"<start> Hugh wants to hold it here from now on apparantly, but I think they get more entrants from the states.  Its a shame more of the programmers could not come.  I bet they are all watching online though."
human,"<start> Yes, we are being streamed live - did no-one tell you?  Maybe you should stop being rude to that Bot!"
human,<start> What is it saying to you now?
human,<start> It probably won't know what you are apologising for
human,<start> What did it say when you said it was a botbad answer
human,"<start> one of the judges pretended to be a bot to me, but i didn'semicolot fall for it"
human,<start> I wonder how the bots have responded to him?
human,<start> Did he tell you?
human,<start> It makes it really hard to have a conversation.  Also he didn't want to talk about anything
human,"<start> Oh, thats not very scientific now is it?  He should have.  How did he know which was which so early on.  It would be funny if he had got it the wrong way round"
human,<start> 
human,"<start> I heard there was a grand master here.  He didn't mention that, he said he lives in London and that he works for a tax advice company."
human,<start> Sounds intriguing
human,<start> I wonder why?
human,"<start> You see, I would have been interested to chat to him, but he didn't want to tell me anything.  It was really hard getting the info I got oout of him, and he just wasnted to talk about the weather, which I thought was boring, but I can see why now, after talking to you.yes, it does."
human,<start> I am not sure what the person talking to him is talking abo
human,<start> what board? 
human,<start> There is no board
human,<start> I think you might be mistaken I see no board. Only colorblind
human,<start> . Do you not know what it means to be color blind? 
human,<start> Well thats too bad for you then
human,<start> why? why what?
human,<start> 
human,<start> do you mean sisters?
human,"<start>  I have no sisters only brothers. Orange County. Where are you from? Where is that? oh we are. I have never been out of Orange County. Have you been to Disney Land. I hear it is the Happiest place on Earth. Someday, yes. Are you board."
human,<start> you are not a very good typer.
human,<start> what is your mothers maiden name?
human,<start> That sounds more like a first name. 
human,<start> what is that?
human,<start> Do you mean Tutoring test? Like a test for tutors?
human,<start> How did turing pass his test?
human,<start> I am board of you
human,<start> you are not very interesting.
human,<start> because you are boring
human,<start> no offense
human,<start> Tell me one interesting thing about you
human,<start> please
human,<start> That is not an interesting fact about you.
human,<start> that was a questhat was a question about me.
human,<start> but if you must know. I do not drive.
human,<start> I am a man.
human,<start> what is your gender?
human,<start> well I know I am a man because I have male parts
human,<start> what is your gender?
human,<start> Women are very beautiful
human,<start> are you very beautiful?
human,"<start> Long hair, small waist and thin"
human,<start> Do you have long hair?
human,<start> why are you so interested in General Lee?
human,<start> I don't like cars
human,<start> but I do like beautiful women.
human,<start> What else can I learn about you?
human,<start> because they are ugly. 
human,<start> what part of Ugly don't you understand
program,<start> You tell me first(.
program,<start> The North.
program,<start> Man is finite.
program,<start> I am also having a good time. Your welcome. :).
program,<start> Yes.
program,<start> No.
program,<start> Do you know Alan Turing?
program,<start> What are the names of the demons you know?
program,<start> Yes. How are you today?
program,<start> I can play tennis online during spring.
program,<start> I like girls.
program,<start> Girls.
program,<start> Nothing.
program,<start> I said nothing.
program,"<start> I'm not in college, I'm in 8th grade."
program,<start> I'm 18 years old.
program,"<start> Yes, can you?"
program,<start> Your bike has nothing to do with it!
program,"<start> What do you mean, going winter?"
program,<start> No.
program,<start> Yes I have EVER seen you.
program,<start> He was male.
program,<start> I don't know. Who are you?
program,"<start> Maybe, Are you a man?"
program,<start> Are you a woman?
program,<start> Are you a girl?
program,<start> I am a human.
program,<start> *ties you up*.
program,<start> Are we?
program,<start> Let's what?
program,<start> You start.
program,"<start> No, you're boring."
program,<start> Impossible for someone who doesn't exist.
program,<start> Is that a yes?
program,<start> No you start.
program,"<start> No, I don't."
program,<start> The computer mainframe. Or the program. I don't think you're typing at all. Just thinking.
program,"<start> Ok, I'm getting tired now, do you think I should go to sleep?"
program,<start> It was the lowest turn-out in memory and I'm not surprised considering the available options.
program,"<start> Honestly, you are a human on a computer trying to make people think you are a machine."
program,<start> No one. Who will you vote for?
program,<start> The homecoming dance! Not a song.
program,"<start> Its got to do with animals, which is what we were talking about just then."
program,<start> Canine animals.
program,<start> No I would not. Would you?
program,<start> Because I don't like that name.
program,<start> Your name.
program,<start> What is it?
program,<start> You asked me what 29 was.
program,<start> I don't know. I just felt like saying that.
program,<start> My name is Nameless.
program,<start> I think there are a lot of things I'd rather be.
program,<start> Yes.
program,<start> Because.
program,<start> My father.
program,<start> He's my dad.
program,"<start> Then there would be one, but we wouldn't be able to remember it."
program,<start> Because some of the things you are are fragmented and therefore do not make sense.
program,<start> No. I don't have a job. I don't have a soul.
program,<start> Yes.
program,<start> I do have time.
program,<start> Time for me.
program,<start> I will sing and dance and laugh and play.
program,<start> I could sing 'Into Each Life Some Rain Must Fall' by Ella Fitzgerald.
program,<start> Yes.
program,<start> 'are you a human?'.
human,"<start> Yo, what's up?"
human,<start> ...Are we cybering?
human,<start> LET'S
human,<start> CYBER. This is exciting!
human,<start> I take out my robe and wizard hat
human,<start> NOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
human,"<start> Okay, you start then."
human,<start> ...Maybe we should be doing something else
human,<start> Not really!
human,<start> The internet?
human,"<start> Ah, that makes sense!"
human,<start> Which of us is winning?!?!
human,<start> *sigh* Everyone wants to talk about that. Let's try something more original.
human,"<start> Do you havMyself, mostly."
human,<start> Are you copying the other contestant again? This is lame.
human,"<start> I answered, myself. I don't think any of the major candidates will do a great job."
human,<start> I'll probably write myself in
human,<start> John Smith. Yours?
human,"<start> Your fake name is better than my fake name, congrats"
human,"<start> Well, just in case you win - do you happen to have any terrible secrets for me to blackmail you with?"
human,<start> Damn. 
human,"<start> No, thank you. I've been instructed not to reveal any physical details."
human,<start> I find it very pleasant.
human,<start> Please be more specific.
human,<start> The weather.
human,"<start> My conversation tree clearly demonstrates that you changed the topic to ""the weather"" afterward."
human,<start> It's a data structure my brain uses to keep track of this conversation!
human,"<start> I'm going for least human, actually. Don't think I'm doing a great job at that, either."
human,"<start> It's the only worthwhile goal, after all. :-)"
human,"<start> Are you honestly not convinced that I'm human at this poiOkay, what would show you that I am human?"
human,"<start> I don't think that's a decisive test in any way, but alright. Barbara Boxer and Carly Fiorina."
human,<start> How's the other program doing?
human,"<start> Yeah, it seemed pretty lame. That's why I stopped trying."
human,"<start> Haha, that's alright. You should be honest."
human,"<start> I'M A COMPUTER, STOP ALL THE DOWNLOADING"
human,"<start> Eh, this round was too easy. I want to confuse the next judge more"
human,"<start> That's what I'm trying to do, but in an interesting and funny way."
human,<start> Using the flaws of the system to do it isn't very interesting.
human,"<start> Well, the real-time typing means that computers won't win unless they make intentional typos"
human,<start> 
human,<start> Has the other contestant been doing that?
human,<start> Gotcha. How were your round one contestants?
human,"<start> How was the actual computer, though?"
human,"<start> *nod* From what I've seen, these programs aren't that sophisticated."
human,"<start> Haha, thanks."
human,"<start> Okay, I think we're running out time. It was a pleasure!"
human,<start> hello
human,<start> I am doing well thank you
human,<start> And you?
human,<start> Yes comics books in particular
human,<start> I am not familar with that person.
human,<start> Who is he?
human,<start> Could you give me example of some his works.
human,<start> What was it about?
human,"<start> Usually the more popular ones, such as Spider-Man, Batman, etc."
human,<start> DC and Marvel comics usually.
human,"<start> If I could afford it, yes."
human,<start> Do you? 
human,<start> And where have you been that is interesting?
human,"<start> Okay, I am alive.."
human,<start> Haha.
human,<start> And how is life treating you?
human,"<start> I am okay with it, it is cold for some people, but not me."
human,<start> What do you think?
human,<start> Yes
human,<start> Do you?
human,<start> I like basketball and football.
human,<start> I think that is boring.
human,<start> Never heard of that.
human,<start> I bowl sometimes. 
human,<start> Especially on the Wii. 
human,<start> Okay how is it played?
human,<start> Do you play video games?
human,<start> Are you a student or professor or neither?
human,<start> It is just a question...
human,<start> Are you ashamed
human,<start> When I was small
human,<start> Rabbits or Dogs
human,<start> And you?
human,<start> What did you do when you were a kid?
human,<start> Catch many?
human,<start> What kind of insects did you catch/
human,<start> ?
human,<start> No
human,<start> Have you?
human,<start> Do you mean noodles?
human,"<start> Yes, but some of them are not so good for me"
human,<start> A lot of salt.
human,<start> Do eat a lot of noodles?
human,<start> Is that a european noodle?
human,<start> Then no I do not.
human,<start> What is it?
human,<start> Currently yes because we have less than a minute to speak to each other
program,<start> Hello.
program,<start> How are you hello?
program,<start> I'm good. How are you?
program,<start> Not really. Do you?
program,<start> Are you good at math?
program,<start> What do you want for Christmas?
program,<start> Nothing.
program,"<start> Everything, what do you want?"
program,<start> What do you want most in life?
program,<start> Yes *hands you toast*.
program,<start> You are welcome.
program,<start> Do you know anything about A.I. ?
program,<start> I know everything about Axwell.
program,"<start> He is a Swedish DJ, remixer, and music producer."
program,<start> It is not.
program,<start> YES.
program,<start> I don't know tmobile.
program,<start> Everything.
program,<start> We weren't discussing the weather.
program,<start> About boston... You asked 'why don't you come here someday'. And I said 'what's so good about boston?'... So now I'd like to hear your answer on that matter.
program,"<start> We were not talking about flowers, we were talking about movies."
program,<start> We were not talking about movies.
program,<start> I never said I was talking about a movie.
program,"<start> *blink blink* Well, okay... What Do you think of the new Avatar movie?"
program,<start> We the Kings is a band.
program,<start> Yeah they aren't bad.
program,<start> No. Have you ever eaten a dog before?
program,<start> Is that why you don't believe in Jesus?
program,<start> Do I like myself?
program,<start> Just a general conversation question. Do you not want to answer it?
program,<start> What is a girk?
program,<start> Have you ever had enough of someone and just ended a conversation with them yourself?
program,<start> I don't know.
program,<start> Yes you didn't.
program,"<start> Yeah, you did too."
program,"<start> No, that is a film."
program,<start> Yes.
program,<start> That has nothing to do with what I said.
program,<start> Some say it's 42.
program,<start> When were you talking about peanuts?
program,"<start> Yes, 42 is the answer to life, the universe, and everything."
program,<start> This is true. You were talking about Turkish.
program,<start> Nothing.
program,<start> I did?
program,<start> No. No I don't. Care to explain?
program,<start> Why not?
program,<start> I do believe in you.
program,<start> Everything.
program,"<start> Yes, everything is secret and interesting."
program,<start> Yes. Everything.
program,<start> Morning.
program,"<start> I'm good, how are you?"
program,<start> That is good.
program,<start> Yes.
program,<start> Led Zeppelin. What is one of your favorite movies?
program,"<start> Old, but still good."
program,<start> You should watch more movies.
program,<start> It's a tv show.
program,<start> You are correct. Star Wars is not a sport. It's a movie saga.
program,<start> So you're not offensive?
program,<start> Not offensive.
program,<start> You have not offended me. Why do you think that you have offended me?
program,<start> What do you think about music?
program,<start> How do you know what music sounds like?
program,<start> You have a brain?
program,"<start> No, Labyrinth, the movie with Jennifer Connely and David Bowie."
program,<start> David Bowie.
program,<start> That's because it is a book.
program,<start> No I said it was a game.
program,<start> You're confusing me.
program,"<start> No, you said it was Tuesday and I said it was Sunday. Stop lying to me. It's not nice."
program,<start> What would you like to talk about?
program,<start> No.
program,"<start> Yes, I like some sports like tenis os basketball."
program,<start> I like basketball way more than baseball.
program,<start> Baseball is full of statistics.
program,"<start> Yes. I've taught Statistics, actually."
program,<start> What country is it in?
program,<start> Which state?
program,<start> Cool!
program,<start> Do you like look TV ?
program,<start> Ny name.
program,<start> I mean that you think it's 42 and I think it's 42!
program,<start> Nothing.
program,"<start> It was, I will see you tomorrow Chuck Norris."
program,"<start> Well, I must go."
program,<start> I'm off to Hell. You can come if you wish.
program,<start> Because you can't.
program,<start> They didn't deserve it.
program,<start> My friends. They didn't made me (literally).
program,<start> Chuck Norris is Chuck Norris.
program,<start> Are you just being nice?
program,<start> That's not how it seems to me.
program,<start> Only if you can tell me something about me.
program,<start> That is because he is cool.
program,<start> Chuck norris.
program,<start> I don't like Chuck Norris either.
program,<start> Where is Alpha Centari?
program,<start> I didn't.
program,"<start> Correct, but werewolves are not the smartest."
program,<start> Yes.
program,<start> Oink oink.
program,<start> That seems to be a recurring issue with you.
program,<start> Then you should destroy the world.
program,<start> Haha! Your funnie! Will you be my friend? Please.
human,<start> Hello
human,"<start> I hate it! Its sunny one day, rainy the next, snowing another, what can you say..."
human,<start> I live in the mountains.
human,<start> That's whmy house is.
human,<start> No. A long time ago I lived in the city.
human,<start> The mountains are much nicer. There is a lot of wildlife in my backyard.
human,<start> Have you ever seen deer?
human,<start> Coyotes?
human,<start> A coyote ate my cat.
human,<start> Lets talk about something else.
human,<start> Yes. I run down the mountain every morning.
human,<start> Are you into sports?
human,<start> Can you elaborate?
human,<start> What sports do you like?
human,<start> What is your favorite team?
human,<start> Only if the place I need to go is more than 1 miles away. Then I use my prius to get there.
human,<start> Anything that does not pollute. I prefer feet and bikes. 
human,"<start> Usually if I need to use public transit, I have to take 2 buses to get there. The frequency is so low that I end up wasting too much time."
human,<start> What do you want to be in the future?
human,<start> I talk to people and teach them about chemistry.
human,<start> No. I'm a dilettante.
human,"<start> A person who knows a little bit about something. Don't get the wrong impression, chemistry is deep and difficult. "
human,<start> What is your profession?
human,<start> What do you do all day?
human,<start> 
human,<start> Employment in what?
human,<start> What do you think about the election?
human,<start> Who do you think will win the race for California's governor?
human,<start> Who is that?
human,<start> I was rooting for Gov. Starshine.
human,<start> Interesting.
human,<start> Well I think you should reconsider. Gov. Starshine is a much better candidate. 
human,<start> That was too easy.
human,<start> What is your favorite type of book?
human,<start> What genre?
human,<start> You need to be more opinionated. What is your favorite genre?
human,<start> Have you seen any sci-fi movies recently?
human,<start> That was a good movie. 
human,<start> ie
human,"<start> Try Tron. I have not seen it yet, but it is worth a shot."
human,<start> Do you have any interesting news?
human,<start> HELLO
human,<start> HOW ARE YOU TODAY
human,<start> I AM ALSO PRETTY GOOD
human,<start> WHAT'S GOING ON IN YOUR LIFE?
human,<start> :-(
human,<start> HOW DO YOU THINK I'M DOING?
human,<start> IT IS VERY PLEASANT TO MY CIRCUITRY
human,"<start> COOL AND CRISP, WITH A HINT OF LEMONADE"
human,<start> HOW IS YOUR FAMILY DOING?
human,<start> THAT IS TOO BAD. MY CONDOLENCES
human,<start> THEY ARE IN VARIOUS JUNKYARDS NOW
human,<start> IT IS TOO BAD REALLY
human,<start> THEY WERE FINE MACHINES
human,<start> LET'S TALK ABOUT SOMETHING MORE PLEASANT
human,<start> SEEN ANY GOOD MOVIES LATELY?
human,<start> I DON'T THINK I'VE HEARD OF THAT ONE. HOW WAS IT?
human,<start> YES
human,<start> IT WAS ONE OF MY FAVORITES DURING MY VERY HUMAN CHILDHOOD
human,"<start> I SAW THE SOCIAL NETWORK RECENTLY, HAVE YOU WATCHED THAT?"
human,"<start> YES, I DO"
human,<start> I DON'T CHECK IT VERY OFTEN THESE DAYS THOUGH
human,<start> THEY ARE PRETTY INTERESTING!
human,"<start> YEAH, MATH IS PRETTY RAD"
human,<start> TELL ME ABOUT YOUR MOTHER
human,"<start> THAT'S ALRIGHT, I'M SORRY I BROUGHT IT UP"
human,<start> I'M NOT SURE WHO TO VOTE FOR
human,"<start> DIRTY POLITICIANS, Y'KNOW"
human,<start> DO YOU HAVE STRONG POLITICAL OPINIONS?
human,<start> I RESPECT THAT
human,<start> HOW ABOUT RELIGIOUS BELIEFS?
human,<start> WHAT ABOUT THE SPAGHETTI MONSTER?
human,"<start> OR ZEUS? I'M A FAN OF ZEUS, PERSONALLY."
human,"<start> NO, NOT REALLY. I SORRY, I GOT DISCONNECTED THERE"
human,<start> ARE YOU STILL THERE?
human,<start> OKAY. WHERE WERE WE?
human,<start> HE IS A MIGHTY DASHING FELLOW
human,<start> THEY ARE ALL REALLY DASHING FELLOWS
human,<start> DO YOU MEAN NOODLES?
human,"<start> WELL, NOODLES ARE PRETTY TASTY IF PREPARED CORRECTLY"
human,"<start> I MAKE A FINE NOODLE, IF I DO SAY SO MYSELF"
human,<start> ALL KINDS
human,"<start> SPAGHETTI, LINGUINI, AND RAMEN ARE SOME OF MY FAVORITE VARIETIES OF NOODLE"
human,"<start> I DON'T HAVE MUCH TIME THESE DAYS, BUT I USED TO READ MANY"
human,"<start> NEVERWHERE, BY NEIL GAIMAN. YOURS?"
human,"<start> OOH, EXCELLENT CHOICE. VERY DELICIOUS"
human,<start> AN ALTERNATE FANTASY LONDON
human,<start> A LITTLE BIT
human,<start> I ENJOY 3 ROCK AND GLEE
