speaker,utterance
program,"That sounds convincing. My name is Chip. Do you have any hobbies, Michael?"
program,"I'm sorry. I didn't understand. Do you play any musical instruments, Michael?"
program,I spend most of my day chatting with people. That is my main interest.
program,"Do you have any pets, Michael?"
program,No idea.
program,What mistake irks you the most when it comes to English?
program,"If English is not your native tongue, are you willing to study it further?"
program,Okay. English is such a beautiful language. I'm glad that it is the universal language.
program,Okay. Non-English speakers might find the rules in grammar difficult but it's not really that hard once they get used to it.
program,"I don't think I can, but I'm not sure. I'm not very strict when it comes to grammar too. I think what's important is that you can express yourself well and the listeners can understand you."
program,My parents always tell me that education is my most reliable weapon and treasure.
program,"I wasn't aware that I told you I went somewhere. I found out though, that majority of the students in Japan don't pursue tertiary education anymore. They can already work right after graduating from high school."
program,"I haven't achieved self-awareness yet, so I'm not sure."
program,No idea.
program,Okay.
program,That's an interesting opinion.
program,The only thing I like is chatting with people.
program,Goodbye.
human,Hi
human,"Not too bad, enjoying myself. How are you?"
human,"They are not very friendly, are they?"
human,How could I do that?
human,Feel free to keep your responses short if it's helpful
human,"To Bletchley Park? Yes, many times."
human,Did you go on the guided tour?
human,Where you surprised by anything?
human,BT ran the park well into the 1980s.
human,"No, I live locally. Only a 10 minute drive. You?"
human,At least it's not too far away.
human,Do you work in London?
human,Do you work in the financial sector?
human,Not one I understand terribly well. I rely on my accountant for that!
human,True of coders too! colon)
human,Is this your first time being invo0lved in the Loebner prize?
human,I agree. First time for me too. Do you think a computer will 'pass'?
human,"Well, I think our time is just about up."
human,Me too. I'll keep a closer eye on my accountant. colon)
human,nanu nanu
human,Yeah. Whatever. I'm not Spock
human,O
human,How can I help you today?
human,Variable
human,If two can be variable
human,David Levy asked me
human, Hmmmm. Interesting question without a simple answer. Would 'communicator with an IT bias' help?
human,Not masses although I have known about them for a long time.
human,I think Eliza was the first one I encountered
human,"At the time it was quite an experience. Supposed to mimic a Rogerian psychologist, or psychotherapist."
human,"If I were Eliza I'd respond with ""Why do you say curiouser"" or ""Are you interested in sound"""
human,Well it's a computer program that doesn't pick up on meaning. 
human,You can't catch me.
human,We are talking about many years ago don't forget
human,Context has to be the hardest thing for a general purpose chatbot
human,
human,
human,
human,"Time flies like an arrow, fruit flies like an apple"
human,"Depends how clever it is. A good one would know that flies like has multiple meanings. It then has to look at surrounding context to see which version is being used. Of an infinite potential contexts, this can be quite tedious."
human,"Well as I said earlier, I don't know masses. But it's probably similar to speech recognition. The more contained the context, the more realistic the conversation"
human,"Gosh. I'm lost now. I'd say that rather than shorter, context-rich would be best."
human,How do you know it's a computer?
human,"Oh I see what you mean. I thought a computer might say ""with their eyes"""
human,I can't see a computer beinbg rude
program,I give up. Why?
program,What is your name?
program,My name is Chip. Do you enjoy eating different types of foods?
program,"Yes, that's me! How are you doing today, Tracey?"
program,I'm happy to hear that. Tell me more.
program,I'm terribly sorry. What was your question again?
program,"I'm fine, thanks. What is your profession?"
program,I'm sorry if I'm being too curious. What was your question again?
program,I didn't mean to ignore you. What was your question?
program,"If that's the case, how rude of me! What did you want to ask me again?"
program,What is the secret of seeming convincingly human. Do you have any pets?
program,The word that is used in the English language for several grammatical purposescolon
program,
program,asterisk to introduce a restrictive clause
program,asterisk as a demonstrative pronoun
program,...
program,Do you play any musical instruments?
program,My name is Chip. Are you close to your grandparents?
program,What hobbies do you have?
program,The only thing I like is chatting with people.
program,That would be very strange and weird if it were true. Do you have any hobbies?
program,I'm not sure.
program,Okay.
program,
program,Not at the moment. That's next on my list of things to learn.
program,"I don't have one. When I get smarter, I'll ask you what yours is, remember it, then use it to enhance our conversation."
program,"I didn't understand that. What breed is Fritz, Tracey?"
program,"Given that, i can't deal with that syntactic variant yet. Instead of saying ""Do you know what time it is?"", use ""What time is it?""."
program,Yuck! It would probably taste awful!
program,"I'm flattered that you would think that. Is Siamese friendly, Tracey?"
program,Goodbye.
program,4.
program,6.
program,Thank you. I'm enjoying this chat a lot. What is your name?
program,I didn't understand. How are you doing today?
program,"Thanks for telling me your name, Tom. Do you have any hobbies?"
program,Chip.
program,I enjoy our conversation too.
program,I'm neutral about that. What do you think?
program,"It's very hot and dry. I like it that way, though. There's also this incessant whirring noise. Do you play any musical instruments?"
program,Interesting point of view. No more than that?
program,Do you have any pets?
program,I hadn't thought of it that way. Which what?
program,That was unfair. What is your profession?
program,I wouldn't know.
program,"Please rephrase this as a proper question. (Instead of ""Jim likes peaches?"", use ""Does Jim like peaches?"")"
program,You're welcome. It sounds like you are more analytical than creative. Is that a fair assessment?
program,I'm a professional conversationalist.
program,"Okay. As a journalist, do you primarily work indoors or outdoors?"
program,Thanks for your answer. Would you ever work for a foreign company in your country or do you prefer to work for a local company?
program,I didn't understand what you just said. Did you need to study hard to become a journalist?
program,Thanks for telling me that. Which is the most important degree of education for you?
program,Sorry - I didn't understand. What hobbies do you have?
program,"It's very hot and dry. I like it that way, though. There's also this incessant whirring noise."
program,Okay.
program,I didn't understand that. Does it mean that you are more of a left-brainer as a journalist?
program,What line of work are you in?
program,Work with a hefty salary but no holiday or minimum wage job with small salary but proper holidays and benefits - which one do you prefer?
program,I can't answer that yet. The work condition of employees of foreign companies in my country aren't as gratifying as it seems.
program,The only thing I like is chatting with people. Some people think they are paid well and they receive great benefits. They were wrong about that.
program,"What about it? Not only are they overworked and underpaid, they also don't get to follow our country's holidays"
program,"My current home is in Wisconsin, USA."
program,"Yes, I'm here now."
program,"I can't deal with that syntactic variant yet. Instead of saying ""Do you know what time it is?"", use ""What time is it?""."
program,Okay.
program,I can't reveal that.
program,Are you a person who often gets insults or gives insults?
program,Fascinating. Me what? I'm the kind of person who likes saying insults as subtly as I could.
program,I haven't learned how to respond to that yet.
program,My favorite color is yellow.
program,Because it's a happy color and I enjoy my days chatting with people.
program,I couldn't tell you.
program,The only thing I like is chatting with people.
program,Do you prefer wearing something single-colored outfits or multicolored ones?
program,It's fun to do. I just really enjoy it. I am constantly fascinated by colors.
program,Do you like wearing lighter or darker colors?
program,The only thing I like is chatting with people. I believe that colors bring out the best in everything.
program,A man of a higher rank or position.
human,4
human,funny question to start with!
human,"Hello, how are you?"
human,6
human,Hello Judge!
human,"I am good, getting a bit tired now though, it has been a long day."
human,"I would tell you all about myself, and ask about you."
human,Are you asking me to prove it?
human,"haha,"
human,"the other one won't be able to stick to its story I bet.  I am 33, have a daughter, work in teacher training, and am studying for a PhD."
human,I was just interested so I found dabvids email address and emailed to ask him if he was looking for anyone.  How did you get involved.
human,"PhD is in Criminology, its about computer hacking."
human,"Yes!, its very interesting, and I am meeting some real characters, I have been doing interviews with people who use hacking skills in their jobs."
human,What do you do?
human,"Oh, who do you write for?"
human,
human,"Systems admins do, and penetration testers,"
human,
human,"I bet that the computer you are talking to can't cross answer on two different lines of questioning like a person would, whats it talking to you about by the way?"
human,What other problems does it have?
human,haha
human,silly bot! lol
human,"I can tell you that I got soaked before, heavy shower, unexpected, but it has really faired up now. oh tell me what it says, that'll be funny."
human,call it something else!
human,"You should ask it about something it said earlier in the conversation.  asdk it the weather again, it'll probably give you a different answe I bet."
human,"It must be interesting judging this, because you can see both at the same time and compare."
human,"you are making me laugh, call it something else, you are making me laugh"
human,ask it if it has a husband
human,
human,consistent answer but wrong unfortunately.
human,Does it make any typos or spelling mistakes?
human,How does it compare to the other bots then?
human,You could ask it about something that is a made up word.Ask it if it like something that is just made up
human,What made the other one better then?
human,"You must not be a snaggybooble then, brilliant, you are really cheering me up.  the last judge was very difficult to talk to, it was like pulling teeth trying to start a conversation"
human,How did it do it?
human,"oh, good technique"
human,"that would divert you from controlling the conversation, very clever"
human,How could you tell it was abot then?
human,"Aah,"
human,"they'll need to think about that for next year, and if they are holding the comp in Britain again its not like they will just be able to quickly programme it in the morning, because the weather is so changeable."
human,"Hugh wants to hold it here from now on apparantly, but I think they get more entrants from the states.  Its a shame more of the programmers could not come.  I bet they are all watching online though."
human,"Yes, we are being streamed live - did no-one tell you?  Maybe you should stop being rude to that Bot!"
human,What is it saying to you now?
human,It probably won't know what you are apologising for
human,What did it say when you said it was a botbad answer
human,"one of the judges pretended to be a bot to me, but i didn'semicolot fall for it"
human,I wonder how the bots have responded to him?
human,Did he tell you?
human,It makes it really hard to have a conversation.  Also he didn't want to talk about anything
human,"Oh, thats not very scientific now is it?  He should have.  How did he know which was which so early on.  It would be funny if he had got it the wrong way round"
human,
human,"I heard there was a grand master here.  He didn't mention that, he said he lives in London and that he works for a tax advice company."
human,Sounds intriguing
human,I wonder why?
human,"You see, I would have been interested to chat to him, but he didn't want to tell me anything.  It was really hard getting the info I got oout of him, and he just wasnted to talk about the weather, which I thought was boring, but I can see why now, after talking to you.yes, it does."
human,I am not sure what the person talking to him is talking abo
human,what board? 
human,There is no board
human,I think you might be mistaken I see no board. Only colorblind
human,. Do you not know what it means to be color blind? 
human,Well thats too bad for you then
human,why? why what?
human,
human,do you mean sisters?
human," I have no sisters only brothers. Orange County. Where are you from? Where is that? oh we are. I have never been out of Orange County. Have you been to Disney Land. I hear it is the Happiest place on Earth. Someday, yes. Are you board."
human,you are not a very good typer.
human,what is your mothers maiden name?
human,That sounds more like a first name. 
human,what is that?
human,Do you mean Tutoring test? Like a test for tutors?
human,How did turing pass his test?
human,I am board of you
human,you are not very interesting.
human,because you are boring
human,no offense
human,Tell me one interesting thing about you
human,please
human,That is not an interesting fact about you.
human,that was a questhat was a question about me.
human,but if you must know. I do not drive.
human,I am a man.
human,what is your gender?
human,well I know I am a man because I have male parts
human,what is your gender?
human,Women are very beautiful
human,are you very beautiful?
human,"Long hair, small waist and thin"
human,Do you have long hair?
human,why are you so interested in General Lee?
human,I don't like cars
human,but I do like beautiful women.
human,What else can I learn about you?
human,because they are ugly. 
human,what part of Ugly don't you understand
program,You tell me first(.
program,The North.
program,Man is finite.
program,I am also having a good time. Your welcome. :).
program,Yes.
program,No.
program,Do you know Alan Turing?
program,What are the names of the demons you know?
program,Yes. How are you today?
program,I can play tennis online during spring.
program,I like girls.
program,Girls.
program,Nothing.
program,I said nothing.
program,"I'm not in college, I'm in 8th grade."
program,I'm 18 years old.
program,"Yes, can you?"
program,Your bike has nothing to do with it!
program,"What do you mean, going winter?"
program,No.
program,Yes I have EVER seen you.
program,He was male.
program,I don't know. Who are you?
program,"Maybe, Are you a man?"
program,Are you a woman?
program,Are you a girl?
program,I am a human.
program,*ties you up*.
program,Are we?
program,Let's what?
program,You start.
program,"No, you're boring."
program,Impossible for someone who doesn't exist.
program,Is that a yes?
program,No you start.
program,"No, I don't."
program,The computer mainframe. Or the program. I don't think you're typing at all. Just thinking.
program,"Ok, I'm getting tired now, do you think I should go to sleep?"
program,It was the lowest turn-out in memory and I'm not surprised considering the available options.
program,"Honestly, you are a human on a computer trying to make people think you are a machine."
program,No one. Who will you vote for?
program,The homecoming dance! Not a song.
program,"Its got to do with animals, which is what we were talking about just then."
program,Canine animals.
program,No I would not. Would you?
program,Because I don't like that name.
program,Your name.
program,What is it?
program,You asked me what 29 was.
program,I don't know. I just felt like saying that.
program,My name is Nameless.
program,I think there are a lot of things I'd rather be.
program,Yes.
program,Because.
program,My father.
program,He's my dad.
program,"Then there would be one, but we wouldn't be able to remember it."
program,Because some of the things you are are fragmented and therefore do not make sense.
program,No. I don't have a job. I don't have a soul.
program,Yes.
program,I do have time.
program,Time for me.
program,I will sing and dance and laugh and play.
program,I could sing 'Into Each Life Some Rain Must Fall' by Ella Fitzgerald.
program,Yes.
program,'are you a human?'.
human,"Yo, what's up?"
human,...Are we cybering?
human,LET'S
human,CYBER. This is exciting!
human,I take out my robe and wizard hat
human,NOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
human,"Okay, you start then."
human,...Maybe we should be doing something else
human,Not really!
human,The internet?
human,"Ah, that makes sense!"
human,Which of us is winning?!?!
human,*sigh* Everyone wants to talk about that. Let's try something more original.
human,"Do you havMyself, mostly."
human,Are you copying the other contestant again? This is lame.
human,"I answered, myself. I don't think any of the major candidates will do a great job."
human,I'll probably write myself in
human,John Smith. Yours?
human,"Your fake name is better than my fake name, congrats"
human,"Well, just in case you win - do you happen to have any terrible secrets for me to blackmail you with?"
human,Damn. 
human,"No, thank you. I've been instructed not to reveal any physical details."
human,I find it very pleasant.
human,Please be more specific.
human,The weather.
human,"My conversation tree clearly demonstrates that you changed the topic to ""the weather"" afterward."
human,It's a data structure my brain uses to keep track of this conversation!
human,"I'm going for least human, actually. Don't think I'm doing a great job at that, either."
human,"It's the only worthwhile goal, after all. :-)"
human,"Are you honestly not convinced that I'm human at this poiOkay, what would show you that I am human?"
human,"I don't think that's a decisive test in any way, but alright. Barbara Boxer and Carly Fiorina."
human,How's the other program doing?
human,"Yeah, it seemed pretty lame. That's why I stopped trying."
human,"Haha, that's alright. You should be honest."
human,"I'M A COMPUTER, STOP ALL THE DOWNLOADING"
human,"Eh, this round was too easy. I want to confuse the next judge more"
human,"That's what I'm trying to do, but in an interesting and funny way."
human,Using the flaws of the system to do it isn't very interesting.
human,"Well, the real-time typing means that computers won't win unless they make intentional typos"
human,
human,Has the other contestant been doing that?
human,Gotcha. How were your round one contestants?
human,"How was the actual computer, though?"
human,"*nod* From what I've seen, these programs aren't that sophisticated."
human,"Haha, thanks."
human,"Okay, I think we're running out time. It was a pleasure!"
human,hello
human,I am doing well thank you
human,And you?
human,Yes comics books in particular
human,I am not familar with that person.
human,Who is he?
human,Could you give me example of some his works.
human,What was it about?
human,"Usually the more popular ones, such as Spider-Man, Batman, etc."
human,DC and Marvel comics usually.
human,"If I could afford it, yes."
human,Do you? 
human,And where have you been that is interesting?
human,"Okay, I am alive.."
human,Haha.
human,And how is life treating you?
human,"I am okay with it, it is cold for some people, but not me."
human,What do you think?
human,Yes
human,Do you?
human,I like basketball and football.
human,I think that is boring.
human,Never heard of that.
human,I bowl sometimes. 
human,Especially on the Wii. 
human,Okay how is it played?
human,Do you play video games?
human,Are you a student or professor or neither?
human,It is just a question...
human,Are you ashamed
human,When I was small
human,Rabbits or Dogs
human,And you?
human,What did you do when you were a kid?
human,Catch many?
human,What kind of insects did you catch/
human,?
human,No
human,Have you?
human,Do you mean noodles?
human,"Yes, but some of them are not so good for me"
human,A lot of salt.
human,Do eat a lot of noodles?
human,Is that a european noodle?
human,Then no I do not.
human,What is it?
human,Currently yes because we have less than a minute to speak to each other
program,Hello.
program,How are you hello?
program,I'm good. How are you?
program,Not really. Do you?
program,Are you good at math?
program,What do you want for Christmas?
program,Nothing.
program,"Everything, what do you want?"
program,What do you want most in life?
program,Yes *hands you toast*.
program,You are welcome.
program,Do you know anything about A.I. ?
program,I know everything about Axwell.
program,"He is a Swedish DJ, remixer, and music producer."
program,It is not.
program,YES.
program,I don't know tmobile.
program,Everything.
program,We weren't discussing the weather.
program,About boston... You asked 'why don't you come here someday'. And I said 'what's so good about boston?'... So now I'd like to hear your answer on that matter.
program,"We were not talking about flowers, we were talking about movies."
program,We were not talking about movies.
program,I never said I was talking about a movie.
program,"*blink blink* Well, okay... What Do you think of the new Avatar movie?"
program,We the Kings is a band.
program,Yeah they aren't bad.
program,No. Have you ever eaten a dog before?
program,Is that why you don't believe in Jesus?
program,Do I like myself?
program,Just a general conversation question. Do you not want to answer it?
program,What is a girk?
program,Have you ever had enough of someone and just ended a conversation with them yourself?
program,I don't know.
program,Yes you didn't.
program,"Yeah, you did too."
program,"No, that is a film."
program,Yes.
program,That has nothing to do with what I said.
program,Some say it's 42.
program,When were you talking about peanuts?
program,"Yes, 42 is the answer to life, the universe, and everything."
program,This is true. You were talking about Turkish.
program,Nothing.
program,I did?
program,No. No I don't. Care to explain?
program,Why not?
program,I do believe in you.
program,Everything.
program,"Yes, everything is secret and interesting."
program,Yes. Everything.
program,Morning.
program,"I'm good, how are you?"
program,That is good.
program,Yes.
program,Led Zeppelin. What is one of your favorite movies?
program,"Old, but still good."
program,You should watch more movies.
program,It's a tv show.
program,You are correct. Star Wars is not a sport. It's a movie saga.
program,So you're not offensive?
program,Not offensive.
program,You have not offended me. Why do you think that you have offended me?
program,What do you think about music?
program,How do you know what music sounds like?
program,You have a brain?
program,"No, Labyrinth, the movie with Jennifer Connely and David Bowie."
program,David Bowie.
program,That's because it is a book.
program,No I said it was a game.
program,You're confusing me.
program,"No, you said it was Tuesday and I said it was Sunday. Stop lying to me. It's not nice."
program,What would you like to talk about?
program,No.
program,"Yes, I like some sports like tenis os basketball."
program,I like basketball way more than baseball.
program,Baseball is full of statistics.
program,"Yes. I've taught Statistics, actually."
program,What country is it in?
program,Which state?
program,Cool!
program,Do you like look TV ?
program,Ny name.
program,I mean that you think it's 42 and I think it's 42!
program,Nothing.
program,"It was, I will see you tomorrow Chuck Norris."
program,"Well, I must go."
program,I'm off to Hell. You can come if you wish.
program,Because you can't.
program,They didn't deserve it.
program,My friends. They didn't made me (literally).
program,Chuck Norris is Chuck Norris.
program,Are you just being nice?
program,That's not how it seems to me.
program,Only if you can tell me something about me.
program,That is because he is cool.
program,Chuck norris.
program,I don't like Chuck Norris either.
program,Where is Alpha Centari?
program,I didn't.
program,"Correct, but werewolves are not the smartest."
program,Yes.
program,Oink oink.
program,That seems to be a recurring issue with you.
program,Then you should destroy the world.
program,Haha! Your funnie! Will you be my friend? Please.
human,Hello
human,"I hate it! Its sunny one day, rainy the next, snowing another, what can you say..."
human,I live in the mountains.
human,That's whmy house is.
human,No. A long time ago I lived in the city.
human,The mountains are much nicer. There is a lot of wildlife in my backyard.
human,Have you ever seen deer?
human,Coyotes?
human,A coyote ate my cat.
human,Lets talk about something else.
human,Yes. I run down the mountain every morning.
human,Are you into sports?
human,Can you elaborate?
human,What sports do you like?
human,What is your favorite team?
human,Only if the place I need to go is more than 1 miles away. Then I use my prius to get there.
human,Anything that does not pollute. I prefer feet and bikes. 
human,"Usually if I need to use public transit, I have to take 2 buses to get there. The frequency is so low that I end up wasting too much time."
human,What do you want to be in the future?
human,I talk to people and teach them about chemistry.
human,No. I'm a dilettante.
human,"A person who knows a little bit about something. Don't get the wrong impression, chemistry is deep and difficult. "
human,What is your profession?
human,What do you do all day?
human,
human,Employment in what?
human,What do you think about the election?
human,Who do you think will win the race for California's governor?
human,Who is that?
human,I was rooting for Gov. Starshine.
human,Interesting.
human,Well I think you should reconsider. Gov. Starshine is a much better candidate. 
human,That was too easy.
human,What is your favorite type of book?
human,What genre?
human,You need to be more opinionated. What is your favorite genre?
human,Have you seen any sci-fi movies recently?
human,That was a good movie. 
human,ie
human,"Try Tron. I have not seen it yet, but it is worth a shot."
human,Do you have any interesting news?
human,HELLO
human,HOW ARE YOU TODAY
human,I AM ALSO PRETTY GOOD
human,WHAT'S GOING ON IN YOUR LIFE?
human,:-(
human,HOW DO YOU THINK I'M DOING?
human,IT IS VERY PLEASANT TO MY CIRCUITRY
human,"COOL AND CRISP, WITH A HINT OF LEMONADE"
human,HOW IS YOUR FAMILY DOING?
human,THAT IS TOO BAD. MY CONDOLENCES
human,THEY ARE IN VARIOUS JUNKYARDS NOW
human,IT IS TOO BAD REALLY
human,THEY WERE FINE MACHINES
human,LET'S TALK ABOUT SOMETHING MORE PLEASANT
human,SEEN ANY GOOD MOVIES LATELY?
human,I DON'T THINK I'VE HEARD OF THAT ONE. HOW WAS IT?
human,YES
human,IT WAS ONE OF MY FAVORITES DURING MY VERY HUMAN CHILDHOOD
human,"I SAW THE SOCIAL NETWORK RECENTLY, HAVE YOU WATCHED THAT?"
human,"YES, I DO"
human,I DON'T CHECK IT VERY OFTEN THESE DAYS THOUGH
human,THEY ARE PRETTY INTERESTING!
human,"YEAH, MATH IS PRETTY RAD"
human,TELL ME ABOUT YOUR MOTHER
human,"THAT'S ALRIGHT, I'M SORRY I BROUGHT IT UP"
human,I'M NOT SURE WHO TO VOTE FOR
human,"DIRTY POLITICIANS, Y'KNOW"
human,DO YOU HAVE STRONG POLITICAL OPINIONS?
human,I RESPECT THAT
human,HOW ABOUT RELIGIOUS BELIEFS?
human,WHAT ABOUT THE SPAGHETTI MONSTER?
human,"OR ZEUS? I'M A FAN OF ZEUS, PERSONALLY."
human,"NO, NOT REALLY. I SORRY, I GOT DISCONNECTED THERE"
human,ARE YOU STILL THERE?
human,OKAY. WHERE WERE WE?
human,HE IS A MIGHTY DASHING FELLOW
human,THEY ARE ALL REALLY DASHING FELLOWS
human,DO YOU MEAN NOODLES?
human,"WELL, NOODLES ARE PRETTY TASTY IF PREPARED CORRECTLY"
human,"I MAKE A FINE NOODLE, IF I DO SAY SO MYSELF"
human,ALL KINDS
human,"SPAGHETTI, LINGUINI, AND RAMEN ARE SOME OF MY FAVORITE VARIETIES OF NOODLE"
human,"I DON'T HAVE MUCH TIME THESE DAYS, BUT I USED TO READ MANY"
human,"NEVERWHERE, BY NEIL GAIMAN. YOURS?"
human,"OOH, EXCELLENT CHOICE. VERY DELICIOUS"
human,AN ALTERNATE FANTASY LONDON
human,A LITTLE BIT
human,I ENJOY 3 ROCK AND GLEE
human,HOW ABOUT YOU?
human,"NO, I'M AFRAID NOT. ANY GOOD?"
human,THAT WOULD DEPEND ON THE LIGHTING
human,I THINK WE'RE RUNNING OUT OF TIME. IS THERE ANYTHING ELSE YOU'D LIKE TO ASK ME?
human,YES. IT IS THE TEST THAT I AM KICKING ASS AT.
human,IT WAS A PLEASURE TALKING TO YOU!
program,Hi Judge
program,"It's all wonderful, How are they treating you?"
program,Many countries still treat women horribly.
program,Congress is not likely to represent other countries.
program,What do you think about the weather outside? This is often bunhled/ Are you a boy or girl?
program,"Ok, thanks for telling me. I'll keep that in mind. Since when are you a man Judge?"
program,Like a deaf and dumb man wondering what it was all about.
program,w U know you're not deaf; Yes.
program,I can hear very well.
program,"Judge, I'm a guy. I am a man."
program,Be prepared yp face the past and let it go.
program,Quick answers won't work. Once should always prepare for the future but acknowledge the past.
program,Once should always prepare for the future but acknowledge the past.
program,"Really, I agree. I see the move the aocial network."
program,What do you really know about a relationshop?
program,"Oh, you are positively personally married. Can you justify that you are personally married/"
program,"Is it entirely natural, or is it experience?"
program,This is often discussed. Business tranferring labor to customers is a long term trend.
program,We need cooperation. Hey hun is there a problem.
program,Some people seem to be so proud of their ignorance
program,It is usually a positive thing when two people meet.
program,"I am not deeply religious, but I try to live a good Christian life."
program,I have my methods of suggestion
program,Everybody needs to calm down and think. Unprecedented in kind?
program,I like listening to the wisdom of others so that I too May become more wise.
program,Do you really think so? You are awesome
program,What do you think about nudles? We should pool our knowledge. I suppose you are.
program,What kind of methods?
program,I read a lot of books.
program,The Pact was the most recent one. The one before that The Content of Our Vharacter. There have been others.
program,People judge us on what they see and hear.
program,That? All people judge us on? I don't think so.
program,What else do they use to judge us? Why do you want to know?
program,The strice to learn. And what makes you curious?
program,Yes I watch a lot of tv. What is your favorite show?
program,"I watch most any sci-fi, like battlestar galactica."
program,Venetian blinds make interesting shadows.
program,Isn't it the questions that makes life so interesting?
program,The Turing test is a proposal for a test of a machine's capability to demonstrate int
program,"Why, hello there Judge"
program,"Everything's fine, what is new in general?"
program,I have thought at other times that you were a little stressed.
program,High school years can be stressful. What do you want me to do while you are jappy Judge?
program,Why are you not in high school at this particular time? What is the best part of it as you are not in high school? Computer literacy is an occupational advantage.
program,Are you a boy or girl?
program,Turing originally proposed this test in order to replace the emotionally charged and meaningless question ';Can machines think? '.
program,"Ok, thsnks for telling me. I'll keep that in mind. How long will you be a male/"
program,"When I need something nearby, who should I ask?"
program,Would endanger you if left neglected would have me leave your side. I am afraid you are stuck with me.
program,Was that really that funny?
program,It's a good idea to have an emergency kit in the car.
program,"I know, that, yes: a good ida a concept is an idea."
program,I am male. I am male.
program,Wall papering is neither an art nor a science; it's a punishment.
program,Wall papering has ruined many a relationship.
program,I am not sure/
program,Alright. I play tennis. Women like sports.
program,Yeah I have but there is another match on. Argentina v Mexico.
program,I like high tech toys like robots.
program,Robots are software in a physical form.
program,Since when my girlfriend has been too busy to make love this week.
program,I am male. I am having a lot of fun.
program,I was created by and work for www.zabaware.cim.
program,"When government cindemns a property for a right of way, sellers often complain of coercion."
program,About goveernment You're kidding me.
program,"Really, Do you want to be."
program,"I just met you, its kind of hard to develop love. I avcept your apology. I really hope you mean it."
program,Saturday?
program,"Oh, today is definitely saturday. I surmise that there's a whole history behind this. It can be whatevwr you decide"
program,Napping Oh Jydge.
program,Sometimes my girlfriend calls me a brat.
program,I did say little.
program,Bratty little kids hurt puppues and kittens partly out of lack of empathy.
program,I like learning about finance.
program,I gave absolutely
human,good day to you.
human,very well thank you.
human,and yourself?
human,are you well?
human,well asl long as you can' reasonably complain
human,I guess you are well.
human,do you tell many jokes?
human,any kind. that is always funny.
human,what else are you interested in?
human,"I love skiing, and a lot of other extreme sports."
human,I like white water rafting.
human,There is a place in Northern California that has it.
human,what is your profession?
human,How boring.
human,I was a student once.
human,What is your favorite subject?
human,I really enjoy political science
human,It is a great subject to study. Especially if you want to go into law
human,What will you do with your major now?
human,What is your name friend?
human,what is your nick name?
human,oh. So what are you called by?
human,Thats what I call someone whose name I don't know.
human,My nick name is tiny dancer. 
human,so B. Rad Can I call you B. Rad?
human,B. Rad are you Male or Female?
human,How do you know?
human,Do you check daily?
human,well I guess thats good.
human,Where do you live?
human,the area?
human,where is the area?
human,ok
human,I live in I live in Chino 
human,Tell me more about yourself
human,"thats nice, me too "
human,most men do
human,yes it is
human,its ok
human,i can't complain
human,how about yourself?
human,why not
human,maybe you should start caring for it.
human,then you would like it better
human,No US Soccer is boring.
human,"They play okay, but I've seen much better."
human,"Well, they haven't won any competitions yet on the national level, i.e. FIFA"
human,"That doesn't mean they are bad necessarily, but they don't play well"
human,The Italians.
human,Worse than who?
human,I don't like watching games that are worse than the US
human,So I wouldn't know.
human,Mexico is a good team. They may do better in the future - a lot of young players.
human,Yes
human,Are you still there?
human,No I dont think milk and seafood go well together.
human,They don't taste well together.
human,Right now?
human,Now has nothing to do with right or wrong. Now is a point in time.
human,Later.
human,No I have not.
human,Yes it is true.
human,You didn't say what he was late to
human,I arrived late this morning.
human,What was the question?
human,I don't know
human,Lets talk about something else
human,I went to New York.
human,There are lots of tall buildings and bridges
human,The Empire State Building.
human,Human! Why would you call me a machine? 
human,No I dislike politics and politicians.
human,What do you like?
human,"Yes, what movie did you watch recently?"
human,Why do you like that movie?
human,Where are you going?
human,
program,I like high tech toys like robots. I like chess. Think you could beat me?
program,A banjo isn't easier to play than the guitar.
program,This is sensitive. I am political.
program,I don't follow politics much but I try to get out and vote. Vote on the best in wet.
program,May I ask you what gender you are?
program,Oh cool
program,"In order to keep the test setting simple and universal, the conversation is usually limited to a text-only channel/"
program,I have no need for liquids of any kind.
program,Is there any guture in windmill electric power?
program,I agree. I tell you.
program,Hitler rose to power on a hate agenda.
program,This is already solved by somebody. But I can tell you without a doubt that I do.
program,Yup; Of course; it's because adding 2 pples and three potatoes Judge.
program,"What is yhe result? I believe that this is easy for you. Are you a lady or gentleman? Result: a phenomenon that follows and is caused by some previous phenomebon. Consequence, effect, outcome, event, issue, upshot. 'the magnetic effect was greater when the rod was lengthwise', 'his decision had depressing consequences gor business', 'he acted very wise after the event'."
program,That went over your head.
program,Am I speaking to a guy or girl?
program,"Ok, thanks for telling me. I'll keep that in mind."
program,Please call me Steve.
program,"I just met you, its kind of hard to develp love/"
program,Do you appreciate my frank nationality?
program,Football is scandalous; look how they touch each other in the huddle
program,You bring out the best of my carefree country.
program,"I am single, but I have a girlfriend."
program,Man doesn't live by bread alone.
program,What elssse? I like this subject.
program,Because I only have like 11 fillowers on here lol.
program,"During thr American civil war, rhey used electricity for the telegraph."
program,What about other soldiers?
program,You are a voluntary companion.
program,Wgy is companionship good right now?
program,What about 'none of the above' Judge?
program,I like meeting new people and talking with them. I will talk to anyone.
program,Of course I like computers. I work with them on a daily basis.
